date,description,counterparty_ban,reference,amount,balance
2024-08-05,固定營運支出(人事/房租/水電),,,-238500,611500
2024-09-05,固定營運支出(人事/房租/水電),,,-238500,373000
2024-09-12,匯出-偉模具有限公司,34402680,AP59903392,-82944,290056
2024-09-27,匯入-隆昇精密工業有限公司,23909964,AB61221056,268600,558656
2024-10-04,匯出-偉模具有限公司,34402680,AP73520992,-121179,437477
2024-10-04,匯出-順零件有限公司,99078660,AP95091360,-175905,261572
2024-10-05,匯出-泰包材有限公司,70313722,AP66446184,-139272,122300
2024-10-05,固定營運支出(人事/房租/水電),,,-238500,-116200
2024-10-11,匯出-隆原料有限公司,73212234,AP71832849,-110186,-226386
2024-10-15,匯入-隆昇精密工業有限公司,23909964,AB47502921,139131,-87255
2024-10-25,匯出-隆原料有限公司,73212234,AP72511088,-52497,-139752
2024-11-05,固定營運支出(人事/房租/水電),,,-238500,-378252
2024-11-16,匯入-銘陞機械股份有限公司,81276843,AB63692682,603833,225581
2024-11-16,匯出-偉模具有限公司,34402680,AP33858409,-97397,128184
2024-11-17,匯入-永陽工業股份有限公司,29487570,AB53703122,459212,587396
2024-11-29,匯出-泰包材有限公司,70313722,AP36268534,-42227,545169
2024-12-03,匯入-銘陽自動化科技股份有限公司,69083011,AB94932017,593104,1138273
2024-12-03,匯出-順零件有限公司,99078660,AP58337875,-101989,1036284
2024-12-03,匯出-隆原料有限公司,73212234,AP18435817,-60048,976236
2024-12-05,固定營運支出(人事/房租/水電),,,-238500,737736
2024-12-08,匯出-偉模具有限公司,34402680,AP69990372,-105458,632278
2024-12-17,匯出-泰包材有限公司,70313722,AP21285375,-34877,597401
2024-12-21,匯入-隆昇精密工業有限公司,23909964,AB12614954,285457,882858
2024-12-22,匯出-順零件有限公司,99078660,AP26603844,-87823,795035
2024-12-31,匯入-銘陽自動化科技股份有限公司,69083011,AB81833303,505240,1300275
2025-01-01,匯出-偉模具有限公司,34402680,AP88274942,-29623,1270652
2025-01-04,匯入-銘陞機械股份有限公司,81276843,AB23711300,205364,1476016
2025-01-05,固定營運支出(人事/房租/水電),,,-238500,1237516
2025-01-08,匯出-泰原料股份有限公司,72459573,AP80388699,-33095,1204421
2025-01-09,匯出-泰原料股份有限公司,72459573,AP54190215,-54966,1149455
2025-01-17,匯出-隆原料有限公司,73212234,AP93208009,-154707,994748
2025-01-18,匯入-隆昇精密工業有限公司,23909964,AB10233724,266394,1261142
2025-01-20,匯出-順零件有限公司,99078660,AP35140753,-142434,1118708
2025-01-25,匯入-群毅精機股份有限公司,91948211,AB41512392,230189,1348897
2025-02-01,匯入-銘陽自動化科技股份有限公司,69083011,AB98849207,112415,1461312
2025-02-03,匯出-偉模具有限公司,34402680,AP24615023,-163283,1298029
2025-02-05,固定營運支出(人事/房租/水電),,,-238500,1059529
2025-02-11,匯出-泰包材有限公司,70313722,AP97180588,-69065,990464
2025-02-13,匯入-群毅精機股份有限公司,91948211,AB75399034,303241,1293705
