年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,總計,內銷額,百萬元,28624527,9897617,18726910
2013,農林漁牧業,內銷額,百萬元,34984,19202,15782
2013,礦業及土石採取業,內銷額,百萬元,47193,37045,10148
2013,製造業,內銷額,百萬元,7725245,3100360,4624886
2013,電力及燃氣供應業,內銷額,百萬元,929802,4235,925567
2013,用水供應及污染整治業,內銷額,百萬元,171929,53109,118819
2013,營造業,內銷額,百萬元,2014371,1330485,683886
2013,批發及零售業,內銷額,百萬元,10971012,3741734,7229278
2013,運輸及倉儲業,內銷額,百萬元,783928,252503,531424
2013,住宿及餐飲業,內銷額,百萬元,490928,342200,148728
2013,資訊及通訊傳播業,內銷額,百萬元,914074,103183,810892
2013,金融及保險業,內銷額,百萬元,2174011,194720,1979291
2013,不動產業,內銷額,百萬元,1157318,224626,932692
2013,專業、科學及技術服務業,內銷額,百萬元,514741,191581,323160
2013,支援服務業,內銷額,百萬元,390026,130685,259342
2013,教育服務業,內銷額,百萬元,10431,7803,2628
2013,醫療保健及社會工作服務業,內銷額,百萬元,5857,2126,3731
2013,藝術、娛樂及休閒服務業,內銷額,百萬元,79852,48442,31410
2013,其他服務業,內銷額,百萬元,208825,113578,95246
2014,總計,內銷額,百萬元,30019115,10345095,19674021
2014,農林漁牧業,內銷額,百萬元,40699,20198,20500
2014,礦業及土石採取業,內銷額,百萬元,47525,37498,10026
2014,製造業,內銷額,百萬元,8051699,3285618,4766081
2014,電力及燃氣供應業,內銷額,百萬元,997862,4425,993436
2014,用水供應及污染整治業,內銷額,百萬元,176909,54551,122358
2014,營造業,內銷額,百萬元,2129604,1399939,729665
2014,批發及零售業,內銷額,百萬元,11594689,3852488,7742201
2014,運輸及倉儲業,內銷額,百萬元,778744,260866,517878
2014,住宿及餐飲業,內銷額,百萬元,539368,370911,168457
2014,資訊及通訊傳播業,內銷額,百萬元,855122,106414,748708
2014,金融及保險業,內銷額,百萬元,2382067,206663,2175404
2014,不動產業,內銷額,百萬元,1133146,226218,906927
2014,專業、科學及技術服務業,內銷額,百萬元,536299,203699,332600
2014,支援服務業,內銷額,百萬元,435345,135978,299367
2014,教育服務業,內銷額,百萬元,12198,8673,3525
2014,醫療保健及社會工作服務業,內銷額,百萬元,6531,2118,4412
