年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,總計,出口額,百萬元,9836367,1424225,8412142
2013,農林漁牧業,出口額,百萬元,5278,2679,2599
2013,礦業及土石採取業,出口額,百萬元,525,135,390
2013,製造業,出口額,百萬元,6643414,973892,5669522
2013,電力及燃氣供應業,出口額,百萬元,14432,45,14387
2013,用水供應及污染整治業,出口額,百萬元,10158,1391,8766
2013,營造業,出口額,百萬元,26573,10207,16366
2013,批發及零售業,出口額,百萬元,2574510,409856,2164655
2013,運輸及倉儲業,出口額,百萬元,293204,9666,283538
2013,住宿及餐飲業,出口額,百萬元,1147,177,969
2013,資訊及通訊傳播業,出口額,百萬元,102758,6290,96468
2013,金融及保險業,出口額,百萬元,5146,677,4469
2013,不動產業,出口額,百萬元,3826,691,3135
2013,專業、科學及技術服務業,出口額,百萬元,139052,6687,132365
2013,支援服務業,出口額,百萬元,6090,1211,4879
2013,教育服務業,出口額,百萬元,91,19,73
2013,醫療保健及社會工作服務業,出口額,百萬元,178,54,125
2013,藝術、娛樂及休閒服務業,出口額,百萬元,215,184,31
2013,其他服務業,出口額,百萬元,9769,363,9405
2014,總計,出口額,百萬元,10221390,1494773,8726617
2014,農林漁牧業,出口額,百萬元,6435,3309,3126
2014,礦業及土石採取業,出口額,百萬元,509,214,295
2014,製造業,出口額,百萬元,7002855,1038190,5964665
2014,電力及燃氣供應業,出口額,百萬元,18215,132,18083
2014,用水供應及污染整治業,出口額,百萬元,10746,1428,9318
2014,營造業,出口額,百萬元,32892,11787,21105
2014,批發及零售業,出口額,百萬元,2559914,413562,2146352
2014,運輸及倉儲業,出口額,百萬元,319440,9007,310432
2014,住宿及餐飲業,出口額,百萬元,1380,140,1240
2014,資訊及通訊傳播業,出口額,百萬元,102126,6829,95296
2014,金融及保險業,出口額,百萬元,5803,691,5113
2014,不動產業,出口額,百萬元,2917,606,2312
2014,專業、科學及技術服務業,出口額,百萬元,137749,7076,130674
2014,支援服務業,出口額,百萬元,6263,1104,5159
2014,教育服務業,出口額,百萬元,84,35,49
