年度,行業別,行業別代碼,統計項目,單位,全部企業(千人),中小企業(千人),大企業(千人),政府僱用(千人)
2013,農、林、漁、牧業,A,受僱人數,千人,88,81,1,5
2013,礦業及土石採取業,B,受僱人數,千人,4,3,-,1
2013,製造業,C,受僱人數,千人,2734,1942,767,25
2013,電力及燃氣供應業,D,受僱人數,千人,29,3,3,23
2013,用水供應及污染整治業,E,受僱人數,千人,77,30,2,45
2013,營造業,F,受僱人數,千人,727,710,10,8
2013,批發及零售業,G,受僱人數,千人,1116,1044,64,8
2013,運輸及倉儲業,H,受僱人數,千人,341,226,63,52
2013,住宿及餐飲業,I,受僱人數,千人,481,461,19,1
2013,資訊及通訊傳播業,J,受僱人數,千人,220,152,68,1
2013,金融及保險業,K,受僱人數,千人,418,316,86,16
2013,不動產業,L,受僱人數,千人,83,80,2,1
2013,專業、科學及技術服務業,M,受僱人數,千人,274,205,44,24
2013,支援服務業,N,受僱人數,千人,241,220,21,1
2013,公共行政及國防；強制性社會安全,O,受僱人數,千人,383,1,0,382
2013,教育服務業,P,受僱人數,千人,600,198,69,333
2013,醫療保健及社會工作服務業,Q,受僱人數,千人,396,191,128,77
2013,藝術、娛樂及休閒服務業,R,受僱人數,千人,75,53,6,16
2013,其他服務業,S,受僱人數,千人,328,320,5,2
2014,農、林、漁、牧業,A,受僱人數,千人,90,82,1,7
2014,礦業及土石採取業,B,受僱人數,千人,4,3,0,1
2014,製造業,C,受僱人數,千人,2763,1952,785,25
2014,電力及燃氣供應業,D,受僱人數,千人,29,4,3,22
2014,用水供應及污染整治業,E,受僱人數,千人,75,31,2,42
2014,營造業,F,受僱人數,千人,750,733,9,8
2014,批發及零售業,G,受僱人數,千人,1112,1043,62,8
2014,運輸及倉儲業,H,受僱人數,千人,351,235,68,49
2014,住宿及餐飲業,I,受僱人數,千人,496,472,23,1
2014,資訊及通訊傳播業,J,受僱人數,千人,228,157,70,1
2014,金融及保險業,K,受僱人數,千人,412,312,84,16
2014,不動產業,L,受僱人數,千人,90,86,3,1
2014,專業、科學及技術服務業,M,受僱人數,千人,280,214,44,23
2014,支援服務業,N,受僱人數,千人,252,230,22,1
2014,公共行政及國防；強制性社會安全,O,受僱人數,千人,378,1,0,377
2014,教育服務業,P,受僱人數,千人,613,203,63,346
2014,醫療保健及社會工作服務業,Q,受僱人數,千人,403,188,136,80
2014,藝術、娛樂及休閒服務業,R,受僱人數,千人,73,54,6,14
2014,其他服務業,S,受僱人數,千人,338,331,4,2
2015,農、林、漁、牧業,A,受僱人數,千人,92,86,1,4
2015,礦業及土石採取業,B,受僱人數,千人,4,3,0,1
2015,製造業,C,受僱人數,千人,2787,1956,811,20
2015,電力及燃氣供應業,D,受僱人數,千人,30,4,2,23
2015,用水供應及污染整治業,E,受僱人數,千人,76,28,2,46
2015,營造業,F,受僱人數,千人,755,738,8,9
2015,批發及零售業,G,受僱人數,千人,1136,1065,64,7
2015,運輸及倉儲業,H,受僱人數,千人,354,240,66,48
2015,住宿及餐飲業,I,受僱人數,千人,514,491,22,0
