年度,行業別,統計項目,單位,全部企業(家),中小企業(家),大企業(家)
2013,總計,家數,家,1363393,1331182,32211
2013,農林漁牧業,家數,家,12088,12027,61
2013,礦業及土石採取業,家數,家,1192,1166,26
2013,製造業,家數,家,144760,139099,5661
2013,電力及燃氣供應業,家數,家,553,423,130
2013,用水供應及污染整治業,家數,家,7506,7211,295
2013,營造業,家數,家,108779,107498,1281
2013,批發及零售業,家數,家,683983,666857,17126
2013,運輸及倉儲業,家數,家,31345,30283,1062
2013,住宿及餐飲業,家數,家,131083,130653,430
2013,資訊及通訊傳播業,家數,家,18521,17794,727
2013,金融及保險業,家數,家,17381,14947,2434
2013,不動產業,家數,家,31499,29986,1513
2013,專業、科學及技術服務業,家數,家,41881,41167,714
2013,支援服務業,家數,家,29039,28607,432
2013,教育服務業,家數,家,1630,1622,8
2013,醫療保健及社會工作服務業,家數,家,616,604,12
2013,藝術、娛樂及休閒服務業,家數,家,23899,23791,108
2013,其他服務業,家數,家,77638,77447,191
2014,總計,家數,家,1386128,1353049,33079
2014,農林漁牧業,家數,家,11638,11568,70
2014,礦業及土石採取業,家數,家,1177,1151,26
2014,製造業,家數,家,147404,141817,5587
2014,電力及燃氣供應業,家數,家,680,546,134
2014,用水供應及污染整治業,家數,家,7480,7155,325
2014,營造業,家數,家,113400,112164,1236
2014,批發及零售業,家數,家,686183,668428,17755
2014,運輸及倉儲業,家數,家,31399,30281,1118
2014,住宿及餐飲業,家數,家,134809,134326,483
2014,資訊及通訊傳播業,家數,家,18882,18141,741
2014,金融及保險業,家數,家,17989,15490,2499
2014,不動產業,家數,家,34318,32766,1552
2014,專業、科學及技術服務業,家數,家,43675,42932,743
2014,支援服務業,家數,家,28857,28376,481
2014,教育服務業,家數,家,1866,1852,14
2014,醫療保健及社會工作服務業,家數,家,683,667,16
2014,藝術、娛樂及休閒服務業,家數,家,26685,26572,113
2014,其他服務業,家數,家,79003,78817,186
2015,總計,家數,家,1416738,1383981,32757
2015,農林漁牧業,家數,家,11649,11580,69
2015,礦業及土石採取業,家數,家,1157,1130,27
2015,製造業,家數,家,148800,143118,5682
2015,電力及燃氣供應業,家數,家,790,658,132
2015,用水供應及污染整治業,家數,家,7527,7237,290
2015,營造業,家數,家,118230,117000,1230
2015,批發及零售業,家數,家,694057,676791,17266
2015,運輸及倉儲業,家數,家,31782,30636,1146
2015,住宿及餐飲業,家數,家,143692,143177,515
2015,資訊及通訊傳播業,家數,家,19694,18937,757
2015,金融及保險業,家數,家,18650,16107,2543
2015,不動產業,家數,家,36114,34614,1500
2015,專業、科學及技術服務業,家數,家,45545,44796,749
2015,支援服務業,家數,家,29692,29184,508
2015,教育服務業,家數,家,2112,2098,14
2015,醫療保健及社會工作服務業,家數,家,745,731,14
2015,藝術、娛樂及休閒服務業,家數,家,25425,25304,121
2015,其他服務業,家數,家,81077,80883,194
2016,總計,家數,家,1440958,1408313,32645
2016,農、林、漁、牧業,家數,家,11446,11380,66
2016,礦業及土石採取業,家數,家,1134,1103,31
2016,製造業,家數,家,148971,143184,5787
2016,電力及燃氣供應業,家數,家,973,839,134
2016,用水供應及污染整治業,家數,家,7545,7250,295
2016,營建工程業,家數,家,122044,120828,1216
2016,批發及零售業,家數,家,699329,682218,17111
2016,運輸及倉儲業,家數,家,32371,31266,1105
2016,住宿及餐飲業,家數,家,151440,150893,547
2016,出版、影音製作、傳播及資通訊服務業,家數,家,20416,19642,774
2016,金融及保險業,家數,家,19328,16850,2478
2016,不動產業,家數,家,36603,35157,1446
2016,專業、科學及技術服務業,家數,家,47285,46523,762
2016,支援服務業,家數,家,30651,30126,525
2016,教育業,家數,家,2433,2417,16
2016,醫療保健及社會工作服務業,家數,家,785,766,19
2016,藝術、娛樂及休閒服務業,家數,家,25594,25464,130
2016,其他服務業,家數,家,82610,82407,203
2017,總計,家數,家,1471433,1437616,33817
2017,農、林、漁、牧業,家數,家,11972,11899,73
2017,礦業及土石採取業,家數,家,1108,1079,29
2017,製造業,家數,家,149322,143429,5893
2017,電力及燃氣供應業,家數,家,1195,1055,140
2017,用水供應及污染整治業,家數,家,7603,7268,335
2017,營建工程業,家數,家,126131,124897,1234
2017,批發及零售業,家數,家,706784,689038,17746
2017,運輸及倉儲業,家數,家,33111,31979,1132
2017,住宿及餐飲業,家數,家,157969,157388,581
2017,出版、影音製作、傳播及資通訊服務業,家數,家,21612,20808,804
2017,金融及保險業,家數,家,19931,17372,2559
2017,不動產業,家數,家,37515,35973,1542
2017,專業、科學及技術服務業,家數,家,49205,48397,808
2017,支援服務業,家數,家,31644,31097,547
2017,教育業,家數,家,2797,2780,17
2017,醫療保健及社會工作服務業,家數,家,1027,1007,20
2017,藝術、娛樂及休閒服務業,家數,家,27891,27733,158
2017,其他服務業,家數,家,84616,84417,199
2018,總計,家數,家,1501642,1466209,35433
2018,農、林、漁、牧業,家數,家,11366,11288,78
2018,礦業及土石採取業,家數,家,1093,1064,29
2018,製造業,家數,家,149821,143853,5968
2018,電力及燃氣供應業,家數,家,1480,1322,158
2018,用水供應及污染整治業,家數,家,7740,7383,357
2018,營建工程業,家數,家,129904,128646,1258
2018,批發及零售業,家數,家,711534,693019,18515
2018,運輸及倉儲業,家數,家,33654,32443,1211
2018,住宿及餐飲業,家數,家,164237,163617,620
2018,出版、影音製作、傳播及資通訊服務業,家數,家,22861,21982,879
2018,金融及保險業,家數,家,20666,17964,2702
2018,不動產業,家數,家,38948,37171,1777
2018,專業、科學及技術服務業,家數,家,51439,50554,885
2018,支援服務業,家數,家,32568,31999,569
2018,教育業,家數,家,3824,3798,26
2018,醫療保健及社會工作服務業,家數,家,1113,1090,23
2018,藝術、娛樂及休閒服務業,家數,家,32909,32742,167
2018,其他服務業,家數,家,86485,86274,211
2019,總計,家數,家,1527272,1491420,35852
2019,農、林、漁、牧業,家數,家,11409,11328,81
2019,礦業及土石採取業,家數,家,1051,1024,27
2019,製造業,家數,家,149769,143699,6070
2019,電力及燃氣供應業,家數,家,1781,1616,165
2019,用水供應及污染整治業,家數,家,7885,7543,342
2019,營建工程業,家數,家,134242,132951,1291
2019,批發及零售業,家數,家,714996,696666,18330
2019,運輸及倉儲業,家數,家,34303,33055,1248
2019,住宿及餐飲業,家數,家,168775,168112,663
2019,出版、影音製作、傳播及資通訊服務業,家數,家,24234,23325,909
2019,金融及保險業,家數,家,21240,18485,2755
2019,不動產業,家數,家,40958,38945,2013
2019,專業、科學及技術服務業,家數,家,53674,52751,923
2019,支援服務業,家數,家,33202,32607,595
2019,教育業,家數,家,4401,4378,23
2019,醫療保健及社會工作服務業,家數,家,1219,1200,19
2019,藝術、娛樂及休閒服務業,家數,家,35963,35777,186
2019,其他服務業,家數,家,88170,87958,212
2020,總計,家數,家,1565637,1548835,16802
2020,農、林、漁、牧業,家數,家,11864,11779,85
2020,礦業及土石採取業,家數,家,1067,1043,24
2020,製造業,家數,家,149844,144647,5197
2020,電力及燃氣供應業,家數,家,2134,1992,142
2020,用水供應及污染整治業,家數,家,8015,7907,108
2020,營建工程業,家數,家,139612,138757,855
2020,批發及零售業,家數,家,724420,720674,3746
2020,運輸及倉儲業,家數,家,35205,34877,328
2020,住宿及餐飲業,家數,家,176034,175580,454
2020,出版、影音製作、傳播及資通訊服務業,家數,家,25599,25042,557
2020,金融及保險業,家數,家,22259,20320,1939
2020,不動產業,家數,家,44059,41730,2329
2020,專業、科學及技術服務業,家數,家,56846,56247,599
2020,支援服務業,家數,家,34027,33854,173
2020,教育業,家數,家,5067,5044,23
2020,醫療保健及社會工作服務業,家數,家,1437,1411,26
2020,藝術、娛樂及休閒服務業,家數,家,37717,37593,124
2020,其他服務業,家數,家,90431,90338,93
2021,總計,家數,家,1613281,1595828,17453
2021,農、林、漁、牧業,家數,家,11316,11231,85
2021,礦業及土石採取業,家數,家,1073,1050,23
2021,製造業,家數,家,149919,144605,5314
2021,電力及燃氣供應業,家數,家,2474,2314,160
2021,用水供應及污染整治業,家數,家,8160,8042,118
2021,營建工程業,家數,家,146852,145942,910
2021,批發及零售業,家數,家,740794,736913,3881
2021,運輸及倉儲業,家數,家,36180,35849,331
2021,住宿及餐飲業,家數,家,184725,184270,455
2021,出版、影音製作、傳播及資通訊服務業,家數,家,27347,26770,577
2021,金融及保險業,家數,家,23186,21172,2014
2021,不動產業,家數,家,46797,44307,2490
2021,專業、科學及技術服務業,家數,家,60258,59611,647
2021,支援服務業,家數,家,34700,34528,172
2021,教育業,家數,家,5673,5648,25
2021,醫療保健及社會工作服務業,家數,家,1628,1601,27
2021,藝術、娛樂及休閒服務業,家數,家,39265,39140,125
2021,其他服務業,家數,家,92934,92835,99
2022,總計,家數,家,1652038,1633788,18250
2022,農、林、漁、牧業與礦業及土石採取業,家數,家,12107,11997,110
2022,製造業,家數,家,150607,145133,5474
2022,電力及燃氣供應業與用水供應及污染整治業,家數,家,11292,10971,321
2022,營建工程業,家數,家,155678,154665,1013
2022,批發及零售業,家數,家,753872,749869,4003
2022,運輸及倉儲業,家數,家,37063,36725,338
2022,住宿及餐飲業,家數,家,188814,188349,465
2022,出版、影音製作、傳播及資通訊服務業,家數,家,28235,27632,603
2022,金融及保險業,家數,家,24246,22151,2095
2022,不動產業,家數,家,48767,46137,2630
2022,專業、科學及技術服務業,家數,家,63384,62656,728
2022,支援服務業,家數,家,35704,35516,188
2022,教育業,家數,家,6290,6262,28
2022,醫療保健及社會工作服務業,家數,家,1868,1842,26
2022,藝術、娛樂及休閒服務業,家數,家,39220,39093,127
2022,其他服務業,家數,家,94891,94790,101
2023,總計,家數,家,1693014,1674061,18953
2023,農、林、漁、牧業與礦業及土石採取業,家數,家,12427,12315,112
2023,製造業,家數,家,149227,143665,5562
2023,電力及燃氣供應業與用水供應及污染整治業,家數,家,11838,11473,365
2023,營建工程業,家數,家,164618,163513,1105
2023,批發及零售業,家數,家,766231,762109,4122
2023,運輸及倉儲業,家數,家,38316,37965,351
2023,住宿及餐飲業,家數,家,195050,194589,461
2023,出版影音及資通訊業,家數,家,28980,28337,643
2023,金融及保險業,家數,家,25066,22891,2175
2023,不動產業,家數,家,49995,47223,2772
2023,專業、科學及技術服務業,家數,家,66508,65717,791
2023,支援服務業,家數,家,36837,36639,198
2023,教育業,家數,家,7069,7040,29
2023,醫療保健及社會工作服務業,家數,家,2180,2151,29
2023,藝術、娛樂及休閒服務業,家數,家,40984,40848,136
2023,其他服務業,家數,家,97688,97586,102
2024,總計,家數,家,1735220,1715528,19692
2024,農、林、漁、牧業與礦業及土石採取業,家數,家,12702,12581,121
2024,製造業,家數,家,147647,141996,5651
2024,電力及燃氣供應業與用水供應及污染整治業,家數,家,12235,11833,402
2024,營建工程業,家數,家,174680,173493,1187
2024,批發及零售業,家數,家,772644,768408,4236
2024,運輸及倉儲業,家數,家,40068,39711,357
2024,住宿及餐飲業,家數,家,200941,200462,479
2024,出版影音及資通訊業,家數,家,29752,29067,685
2024,金融及保險業,家數,家,26182,23926,2256
2024,不動產業,家數,家,51619,48663,2956
2024,專業、科學及技術服務業,家數,家,70002,69164,838
2024,支援服務業,家數,家,37982,37775,207
2024,教育業,家數,家,7850,7820,30
2024,醫療保健及社會工作服務業,家數,家,2579,2548,31
2024,藝術、娛樂及休閒服務業,家數,家,47159,47011,148
2024,其他服務業,家數,家,101178,101070,108
