年度,行業別,行業別代碼,統計項目,單位,全部企業(千人),中小企業(千人),大企業(千人),政府僱用(千人)
2013,農、林、漁、牧業,A,就業人數,千人,544,537,1,5
2013,礦業及土石採取業,B,就業人數,千人,4,3,-,1
2013,製造業,C,就業人數,千人,2988,2195,768,25
2013,電力及燃氣供應業,D,就業人數,千人,29,3,3,23
2013,用水供應及污染整治業,E,就業人數,千人,84,37,2,45
2013,營造業,F,就業人數,千人,861,843,10,8
2013,批發及零售業,G,就業人數,千人,1817,1745,64,8
2013,運輸及倉儲業,H,就業人數,千人,425,310,63,52
2013,住宿及餐飲業,I,就業人數,千人,775,756,19,1
2013,資訊及通訊傳播業,J,就業人數,千人,234,165,68,1
2013,金融及保險業,K,就業人數,千人,422,320,86,16
2013,不動產業,L,就業人數,千人,92,88,2,1
2013,專業、科學及技術服務業,M,就業人數,千人,347,278,44,24
2013,支援服務業,N,就業人數,千人,263,242,21,1
2013,公共行政及國防；強制性社會安全,O,就業人數,千人,383,1,0,382
2013,教育服務業,P,就業人數,千人,634,232,69,333
2013,醫療保健及社會工作服務業,Q,就業人數,千人,427,222,128,77
2013,藝術、娛樂及休閒服務業,R,就業人數,千人,96,75,6,16
2013,其他服務業,S,就業人數,千人,541,534,5,2
2014,農、林、漁、牧業,A,就業人數,千人,548,540,1,7
2014,礦業及土石採取業,B,就業人數,千人,4,3,0,1
2014,製造業,C,就業人數,千人,3007,2196,786,25
2014,電力及燃氣供應業,D,就業人數,千人,29,4,3,22
2014,用水供應及污染整治業,E,就業人數,千人,82,38,2,42
2014,營造業,F,就業人數,千人,881,865,9,8
2014,批發及零售業,G,就業人數,千人,1825,1756,62,8
2014,運輸及倉儲業,H,就業人數,千人,433,316,68,49
2014,住宿及餐飲業,I,就業人數,千人,792,768,23,1
2014,資訊及通訊傳播業,J,就業人數,千人,241,170,71,1
2014,金融及保險業,K,就業人數,千人,416,316,84,16
2014,不動產業,L,就業人數,千人,98,94,3,1
2014,專業、科學及技術服務業,M,就業人數,千人,354,287,44,23
