年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,總計,銷售額,百萬元,38460894,11321842,27139052
2013,農林漁牧業,銷售額,百萬元,40262,21881,18381
2013,礦業及土石採取業,銷售額,百萬元,47718,37180,10538
2013,製造業,銷售額,百萬元,14368660,4074252,10294408
2013,電力及燃氣供應業,銷售額,百萬元,944235,4281,939954
2013,用水供應及污染整治業,銷售額,百萬元,182086,54501,127586
2013,營造業,銷售額,百萬元,2040944,1340692,700251
2013,批發及零售業,銷售額,百萬元,13545522,4151590,9393932
2013,運輸及倉儲業,銷售額,百萬元,1077132,262169,814963
2013,住宿及餐飲業,銷售額,百萬元,492075,342378,149697
2013,資訊及通訊傳播業,銷售額,百萬元,1016833,109473,907360
2013,金融及保險業,銷售額,百萬元,2179157,195397,1983760
2013,不動產業,銷售額,百萬元,1161144,225317,935827
2013,專業、科學及技術服務業,銷售額,百萬元,653793,198268,455525
2013,支援服務業,銷售額,百萬元,396116,131896,264220
2013,教育服務業,銷售額,百萬元,10523,7822,2701
2013,醫療保健及社會工作服務業,銷售額,百萬元,6036,2179,3856
2013,藝術、娛樂及休閒服務業,銷售額,百萬元,80067,48626,31441
2013,其他服務業,銷售額,百萬元,218593,113942,104652
2014,總計,銷售額,百萬元,40240506,11839868,28400638
2014,農林漁牧業,銷售額,百萬元,47134,23508,23627
2014,礦業及土石採取業,銷售額,百萬元,48033,37712,10321
2014,製造業,銷售額,百萬元,15054553,4323807,10730746
2014,電力及燃氣供應業,銷售額,百萬元,1016077,4557,1011519
2014,用水供應及污染整治業,銷售額,百萬元,187655,55979,131676
2014,營造業,銷售額,百萬元,2162496,1411725,750770
2014,批發及零售業,銷售額,百萬元,14154603,4266050,9888553
2014,運輸及倉儲業,銷售額,百萬元,1098184,269873,828311
2014,住宿及餐飲業,銷售額,百萬元,540748,371052,169696
2014,資訊及通訊傳播業,銷售額,百萬元,957248,113244,844004
2014,金融及保險業,銷售額,百萬元,2387871,207354,2180517
2014,不動產業,銷售額,百萬元,1136063,226824,909239
