年度,組織別,行業別,統計項目,單位,中小企業(家),大企業(家)
2013,總計,農林漁牧業,家數,家,12027,61
2013,股份有限公司,農林漁牧業,家數,家,1042,39
2013,有限公司,農林漁牧業,家數,家,1120,10
2013,無限公司,農林漁牧業,家數,家, ,0
2013,兩合公司,農林漁牧業,家數,家, , 
2013,合夥,農林漁牧業,家數,家,812,0
2013,獨資,農林漁牧業,家數,家,8803, 
2013,外國公司,農林漁牧業,家數,家, , 
2013,外國公司辦事處,農林漁牧業,家數,家, ,0
2013,分公司,農林漁牧業,家數,家,30, 
2013,其他,農林漁牧業,家數,家,212,8
2013,總計,礦業及土石採取業,家數,家,1166,26
2013,股份有限公司,礦業及土石採取業,家數,家,311,26
2013,有限公司,礦業及土石採取業,家數,家,453,0
2013,無限公司,礦業及土石採取業,家數,家, ,0
2013,兩合公司,礦業及土石採取業,家數,家,0,0
2013,合夥,礦業及土石採取業,家數,家,56,0
2013,獨資,礦業及土石採取業,家數,家,302,0
2013,外國公司,礦業及土石採取業,家數,家, ,0
2013,外國公司辦事處,礦業及土石採取業,家數,家,0,0
2013,分公司,礦業及土石採取業,家數,家,14,0
2013,其他,礦業及土石採取業,家數,家,28,0
2013,總計,製造業,家數,家,139099,5661
2013,股份有限公司,製造業,家數,家,29169,5461
2013,有限公司,製造業,家數,家,56396,166
2013,無限公司,製造業,家數,家,0,0
2013,兩合公司,製造業,家數,家, ,0
2013,合夥,製造業,家數,家,3049,0
2013,獨資,製造業,家數,家,48449, 
2013,外國公司,製造業,家數,家,227,11
2013,外國公司辦事處,製造業,家數,家,6, 
2013,分公司,製造業,家數,家,740,0
2013,其他,製造業,家數,家,1061,18
2013,總計,電力及燃氣供應業,家數,家,423,130
2013,股份有限公司,電力及燃氣供應業,家數,家,114,74
2013,有限公司,電力及燃氣供應業,家數,家,186,9
2013,無限公司,電力及燃氣供應業,家數,家,0,0
2013,兩合公司,電力及燃氣供應業,家數,家,0,0
2013,合夥,電力及燃氣供應業,家數,家,6,0
2013,獨資,電力及燃氣供應業,家數,家,72, 
2013,外國公司,電力及燃氣供應業,家數,家, ,0
2013,外國公司辦事處,電力及燃氣供應業,家數,家,0,0
2013,分公司,電力及燃氣供應業,家數,家,7,11
2013,其他,電力及燃氣供應業,家數,家,37,35
2013,總計,用水供應及污染整治業,家數,家,7211,295
2013,股份有限公司,用水供應及污染整治業,家數,家,563,123
2013,有限公司,用水供應及污染整治業,家數,家,2905,101
2013,無限公司,用水供應及污染整治業,家數,家,0,0
2013,兩合公司,用水供應及污染整治業,家數,家,0,0
2013,合夥,用水供應及污染整治業,家數,家,118,0
2013,獨資,用水供應及污染整治業,家數,家,3485, 
2013,外國公司,用水供應及污染整治業,家數,家,7, 
2013,外國公司辦事處,用水供應及污染整治業,家數,家, ,0
2013,分公司,用水供應及污染整治業,家數,家,40,6
2013,其他,用水供應及污染整治業,家數,家,92,62
2013,總計,營造業,家數,家,107498,1281
2013,股份有限公司,營造業,家數,家,5485,900
2013,有限公司,營造業,家數,家,46639,335
2013,無限公司,營造業,家數,家,9, 
2013,兩合公司,營造業,家數,家, ,0
2013,合夥,營造業,家數,家,2880,0
2013,獨資,營造業,家數,家,51894,8
2013,外國公司,營造業,家數,家,90,17
2013,外國公司辦事處,營造業,家數,家,9, 
2013,分公司,營造業,家數,家,166,0
2013,其他,營造業,家數,家,322,17
2013,總計,批發及零售業,家數,家,666857,17126
2013,股份有限公司,批發及零售業,家數,家,43458,7656
2013,有限公司,批發及零售業,家數,家,200610,5831
2013,無限公司,批發及零售業,家數,家,40,0
2013,兩合公司,批發及零售業,家數,家,8,0
2013,合夥,批發及零售業,家數,家,10400,82
2013,獨資,批發及零售業,家數,家,371992,113
2013,外國公司,批發及零售業,家數,家,1943,456
2013,外國公司辦事處,批發及零售業,家數,家,48, 
2013,分公司,批發及零售業,家數,家,21403,1418
2013,其他,批發及零售業,家數,家,16955,1567
2013,總計,運輸及倉儲業,家數,家,30283,1062
2013,股份有限公司,運輸及倉儲業,家數,家,4105,556
2013,有限公司,運輸及倉儲業,家數,家,9438,227
2013,無限公司,運輸及倉儲業,家數,家, ,0
2013,兩合公司,運輸及倉儲業,家數,家, ,0
2013,合夥,運輸及倉儲業,家數,家,699, 
2013,獨資,運輸及倉儲業,家數,家,12015,0
2013,外國公司,運輸及倉儲業,家數,家,56,49
2013,外國公司辦事處,運輸及倉儲業,家數,家,6, 
2013,分公司,運輸及倉儲業,家數,家,833,78
2013,其他,運輸及倉儲業,家數,家,3128,150
2013,總計,住宿及餐飲業,家數,家,130653,430
2013,股份有限公司,住宿及餐飲業,家數,家,1793,214
2013,有限公司,住宿及餐飲業,家數,家,5001,70
2013,無限公司,住宿及餐飲業,家數,家,6,0
2013,兩合公司,住宿及餐飲業,家數,家,0,0
2013,合夥,住宿及餐飲業,家數,家,3177,8
2013,獨資,住宿及餐飲業,家數,家,116260, 
2013,外國公司,住宿及餐飲業,家數,家,91, 
2013,外國公司辦事處,住宿及餐飲業,家數,家, ,0
2013,分公司,住宿及餐飲業,家數,家,2693,103
2013,其他,住宿及餐飲業,家數,家,1630,28
2013,總計,資訊及通訊傳播業,家數,家,17794,727
2013,股份有限公司,資訊及通訊傳播業,家數,家,4115,532
2013,有限公司,資訊及通訊傳播業,家數,家,8027,54
2013,無限公司,資訊及通訊傳播業,家數,家, ,0
2013,兩合公司,資訊及通訊傳播業,家數,家, ,0
2013,合夥,資訊及通訊傳播業,家數,家,248,0
2013,獨資,資訊及通訊傳播業,家數,家,3458, 
2013,外國公司,資訊及通訊傳播業,家數,家,261,54
2013,外國公司辦事處,資訊及通訊傳播業,家數,家, , 
2013,分公司,資訊及通訊傳播業,家數,家,425,40
2013,其他,資訊及通訊傳播業,家數,家,1255,44
2013,總計,金融及保險業,家數,家,14947,2434
2013,股份有限公司,金融及保險業,家數,家,4470,500
2013,有限公司,金融及保險業,家數,家,3479,18
2013,無限公司,金融及保險業,家數,家, ,0
2013,兩合公司,金融及保險業,家數,家, ,0
2013,合夥,金融及保險業,家數,家,136,0
2013,獨資,金融及保險業,家數,家,2104, 
2013,外國公司,金融及保險業,家數,家,220,73
2013,外國公司辦事處,金融及保險業,家數,家, ,0
2013,分公司,金融及保險業,家數,家,3354,1448
2013,其他,金融及保險業,家數,家,1180,393
2013,總計,不動產業,家數,家,29986,1513
2013,股份有限公司,不動產業,家數,家,8348,1021
2013,有限公司,不動產業,家數,家,14382,340
2013,無限公司,不動產業,家數,家, ,0
2013,兩合公司,不動產業,家數,家, ,0
2013,合夥,不動產業,家數,家,638, 
2013,獨資,不動產業,家數,家,3870,17
2013,外國公司,不動產業,家數,家,216,9
2013,外國公司辦事處,不動產業,家數,家,0,0
2013,分公司,不動產業,家數,家,560,23
2013,其他,不動產業,家數,家,1963,101
2013,總計,專業、科學及技術服務業,家數,家,41167,714
2013,股份有限公司,專業、科學及技術服務業,家數,家,5386,422
2013,有限公司,專業、科學及技術服務業,家數,家,21279,158
2013,無限公司,專業、科學及技術服務業,家數,家, ,0
2013,兩合公司,專業、科學及技術服務業,家數,家, ,0
2013,合夥,專業、科學及技術服務業,家數,家,564,0
2013,獨資,專業、科學及技術服務業,家數,家,12797, 
2013,外國公司,專業、科學及技術服務業,家數,家,376,59
2013,外國公司辦事處,專業、科學及技術服務業,家數,家,6, 
2013,分公司,專業、科學及技術服務業,家數,家,255,19
2013,其他,專業、科學及技術服務業,家數,家,498,53
2013,總計,支援服務業,家數,家,28607,432
2013,股份有限公司,支援服務業,家數,家,2500,248
2013,有限公司,支援服務業,家數,家,9698,95
2013,無限公司,支援服務業,家數,家, ,0
2013,兩合公司,支援服務業,家數,家,0,0
2013,合夥,支援服務業,家數,家,449, 
2013,獨資,支援服務業,家數,家,14089, 
2013,外國公司,支援服務業,家數,家,48,12
2013,外國公司辦事處,支援服務業,家數,家, ,0
2013,分公司,支援服務業,家數,家,1198,57
2013,其他,支援服務業,家數,家,622,15
2013,總計,教育服務業,家數,家,1622,8
2013,股份有限公司,教育服務業,家數,家,132, 
2013,有限公司,教育服務業,家數,家,463,0
2013,無限公司,教育服務業,家數,家,0,0
2013,兩合公司,教育服務業,家數,家,0,0
2013,合夥,教育服務業,家數,家,10,0
2013,獨資,教育服務業,家數,家,330,0
2013,外國公司,教育服務業,家數,家,6,0
2013,外國公司辦事處,教育服務業,家數,家,0,0
2013,分公司,教育服務業,家數,家,194, 
2013,其他,教育服務業,家數,家,487, 
2013,總計,醫療保健及社會工作服務業,家數,家,604,12
2013,股份有限公司,醫療保健及社會工作服務業,家數,家,47,7
2013,有限公司,醫療保健及社會工作服務業,家數,家,70, 
2013,無限公司,醫療保健及社會工作服務業,家數,家,0,0
2013,兩合公司,醫療保健及社會工作服務業,家數,家,0,0
2013,合夥,醫療保健及社會工作服務業,家數,家, ,0
2013,獨資,醫療保健及社會工作服務業,家數,家,333,0
2013,外國公司,醫療保健及社會工作服務業,家數,家,6,0
2013,外國公司辦事處,醫療保健及社會工作服務業,家數,家,0,0
2013,分公司,醫療保健及社會工作服務業,家數,家, ,0
2013,其他,醫療保健及社會工作服務業,家數,家,143, 
2013,總計,藝術、娛樂及休閒服務業,家數,家,23791,108
2013,股份有限公司,藝術、娛樂及休閒服務業,家數,家,526,53
2013,有限公司,藝術、娛樂及休閒服務業,家數,家,1922,8
2013,無限公司,藝術、娛樂及休閒服務業,家數,家, ,0
2013,兩合公司,藝術、娛樂及休閒服務業,家數,家, ,0
2013,合夥,藝術、娛樂及休閒服務業,家數,家,267, 
2013,獨資,藝術、娛樂及休閒服務業,家數,家,20423, 
2013,外國公司,藝術、娛樂及休閒服務業,家數,家,42, 
2013,外國公司辦事處,藝術、娛樂及休閒服務業,家數,家,0,0
2013,分公司,藝術、娛樂及休閒服務業,家數,家,196,20
2013,其他,藝術、娛樂及休閒服務業,家數,家,410,20
2013,總計,其他服務業,家數,家,77447,191
2013,股份有限公司,其他服務業,家數,家,618,60
2013,有限公司,其他服務業,家數,家,3702,22
2013,無限公司,其他服務業,家數,家, ,0
2013,兩合公司,其他服務業,家數,家,0,0
2013,合夥,其他服務業,家數,家,1125,0
2013,獨資,其他服務業,家數,家,70490, 
2013,外國公司,其他服務業,家數,家,33,0
2013,外國公司辦事處,其他服務業,家數,家, ,0
2013,分公司,其他服務業,家數,家,341,38
2013,其他,其他服務業,家數,家,1133,69
2014,總計,農林漁牧業,家數,家,11568,70
2014,股份有限公司,農林漁牧業,家數,家,1101,46
2014,有限公司,農林漁牧業,家數,家,1226,12
2014,無限公司,農林漁牧業,家數,家, ,-
2014,兩合公司,農林漁牧業,家數,家, ,-
2014,合夥,農林漁牧業,家數,家,777,-
2014,獨資,農林漁牧業,家數,家,8196,-
2014,本國公司之分公司,農林漁牧業,家數,家,36, 
2014,外國公司在台之分公司,農林漁牧業,家數,家, , 
2014,其他,農林漁牧業,家數,家,227,10
2014,總計,礦業及土石採取業,家數,家,1151,26
2014,股份有限公司,礦業及土石採取業,家數,家,315,26
2014,有限公司,礦業及土石採取業,家數,家,450,-
2014,無限公司,礦業及土石採取業,家數,家, ,-
2014,兩合公司,礦業及土石採取業,家數,家,-,-
2014,合夥,礦業及土石採取業,家數,家,57,-
2014,獨資,礦業及土石採取業,家數,家,287,-
2014,本國公司之分公司,礦業及土石採取業,家數,家,12,-
2014,外國公司在台之分公司,礦業及土石採取業,家數,家, ,-
2014,其他,礦業及土石採取業,家數,家,28,-
2014,總計,製造業,家數,家,141817,5587
2014,股份有限公司,製造業,家數,家,29456,5395
2014,有限公司,製造業,家數,家,58650,158
2014,無限公司,製造業,家數,家, ,-
2014,兩合公司,製造業,家數,家, ,-
2014,合夥,製造業,家數,家,3194,-
2014,獨資,製造業,家數,家,48417, 
2014,本國公司之分公司,製造業,家數,家,786,-
2014,外國公司在台之分公司,製造業,家數,家,249,15
2014,其他,製造業,家數,家,1061,16
2014,總計,電力及燃氣供應業,家數,家,546,134
2014,股份有限公司,電力及燃氣供應業,家數,家,146,78
2014,有限公司,電力及燃氣供應業,家數,家,259,9
2014,無限公司,電力及燃氣供應業,家數,家,-,-
2014,兩合公司,電力及燃氣供應業,家數,家,-,-
2014,合夥,電力及燃氣供應業,家數,家,8,-
2014,獨資,電力及燃氣供應業,家數,家,88, 
2014,本國公司之分公司,電力及燃氣供應業,家數,家,9,10
2014,外國公司在台之分公司,電力及燃氣供應業,家數,家,-,-
2014,其他,電力及燃氣供應業,家數,家,36,36
2014,總計,用水供應及污染整治業,家數,家,7155,325
2014,股份有限公司,用水供應及污染整治業,家數,家,554,125
2014,有限公司,用水供應及污染整治業,家數,家,2880,130
2014,無限公司,用水供應及污染整治業,家數,家,-,-
2014,兩合公司,用水供應及污染整治業,家數,家,-,-
2014,合夥,用水供應及污染整治業,家數,家,119,-
2014,獨資,用水供應及污染整治業,家數,家,3462, 
2014,本國公司之分公司,用水供應及污染整治業,家數,家,37,7
2014,外國公司在台之分公司,用水供應及污染整治業,家數,家,7, 
2014,其他,用水供應及污染整治業,家數,家,96,61
2014,總計,營造業,家數,家,112164,1236
2014,股份有限公司,營造業,家數,家,5682,883
2014,有限公司,營造業,家數,家,48835,315
2014,無限公司,營造業,家數,家,14, 
2014,兩合公司,營造業,家數,家, ,-
2014,合夥,營造業,家數,家,3081,-
2014,獨資,營造業,家數,家,53946, 
2014,本國公司之分公司,營造業,家數,家,169,-
2014,外國公司在台之分公司,營造業,家數,家,97,19
2014,其他,營造業,家數,家,337,13
2014,總計,批發及零售業,家數,家,668428,17755
2014,股份有限公司,批發及零售業,家數,家,43678,7774
2014,有限公司,批發及零售業,家數,家,204355,6199
2014,無限公司,批發及零售業,家數,家,54,-
2014,兩合公司,批發及零售業,家數,家,10,-
2014,合夥,批發及零售業,家數,家,10757,77
2014,獨資,批發及零售業,家數,家,368799,117
2014,本國公司之分公司,批發及零售業,家數,家,21610,1485
2014,外國公司在台之分公司,批發及零售業,家數,家,2003,487
2014,其他,批發及零售業,家數,家,17162,1616
2014,總計,運輸及倉儲業,家數,家,30281,1118
2014,股份有限公司,運輸及倉儲業,家數,家,4121,578
2014,有限公司,運輸及倉儲業,家數,家,9501,259
2014,無限公司,運輸及倉儲業,家數,家, ,-
2014,兩合公司,運輸及倉儲業,家數,家, ,-
2014,合夥,運輸及倉儲業,家數,家,700, 
2014,獨資,運輸及倉儲業,家數,家,11694,-
2014,本國公司之分公司,運輸及倉儲業,家數,家,825,74
2014,外國公司在台之分公司,運輸及倉儲業,家數,家,51,51
2014,其他,運輸及倉儲業,家數,家,3386,154
2014,總計,住宿及餐飲業,家數,家,134326,483
2014,股份有限公司,住宿及餐飲業,家數,家,1946,242
2014,有限公司,住宿及餐飲業,家數,家,5534,73
2014,無限公司,住宿及餐飲業,家數,家,6,-
2014,兩合公司,住宿及餐飲業,家數,家, ,-
2014,合夥,住宿及餐飲業,家數,家,3538,10
2014,獨資,住宿及餐飲業,家數,家,118394, 
2014,本國公司之分公司,住宿及餐飲業,家數,家,2957,116
2014,外國公司在台之分公司,住宿及餐飲業,家數,家,62, 
2014,其他,住宿及餐飲業,家數,家,1888,34
2014,總計,資訊及通訊傳播業,家數,家,18141,741
2014,股份有限公司,資訊及通訊傳播業,家數,家,4363,528
2014,有限公司,資訊及通訊傳播業,家數,家,8354,74
2014,無限公司,資訊及通訊傳播業,家數,家, ,-
2014,兩合公司,資訊及通訊傳播業,家數,家, ,-
2014,合夥,資訊及通訊傳播業,家數,家,249,-
2014,獨資,資訊及通訊傳播業,家數,家,3441,-
2014,本國公司之分公司,資訊及通訊傳播業,家數,家,361,41
2014,外國公司在台之分公司,資訊及通訊傳播業,家數,家,300,49
2014,其他,資訊及通訊傳播業,家數,家,1069,49
2014,總計,金融及保險業,家數,家,15490,2499
2014,股份有限公司,金融及保險業,家數,家,4626,543
2014,有限公司,金融及保險業,家數,家,3909,23
2014,無限公司,金融及保險業,家數,家, ,-
2014,兩合公司,金融及保險業,家數,家, ,-
