年度,縣市別,行業別,統計項目,單位,中小企業(家),大企業(家)
2013,總計,農林漁牧業,家數,家,12027,61
2013,臺北市,農林漁牧業,家數,家,357,14
2013,新北市,農林漁牧業,家數,家,969, 
2013,桃園縣,農林漁牧業,家數,家,553, 
2013,臺中市,農林漁牧業,家數,家,394, 
2013,臺南市,農林漁牧業,家數,家,295, 
2013,高雄市,農林漁牧業,家數,家,4207,11
2013,基隆市,農林漁牧業,家數,家,27,0
2013,宜蘭縣,農林漁牧業,家數,家,2093,0
2013,新竹市,農林漁牧業,家數,家,244, 
2013,新竹縣,農林漁牧業,家數,家,141, 
2013,苗栗縣,農林漁牧業,家數,家,166, 
2013,彰化縣,農林漁牧業,家數,家,522, 
2013,南投縣,農林漁牧業,家數,家,367, 
2013,雲林縣,農林漁牧業,家數,家,253, 
2013,嘉義市,農林漁牧業,家數,家,49,0
2013,嘉義縣,農林漁牧業,家數,家,240, 
2013,屏東縣,農林漁牧業,家數,家,668,8
2013,澎湖縣,農林漁牧業,家數,家,22,0
2013,花蓮縣,農林漁牧業,家數,家,199,0
2013,臺東縣,農林漁牧業,家數,家,224,0
2013,金門縣,農林漁牧業,家數,家,33,0
2013,連江縣,農林漁牧業,家數,家,,0
2013,總計,礦業及土石採取業,家數,家,1166,100
2013,臺北市,礦業及土石採取業,家數,家,88,8
2013,新北市,礦業及土石採取業,家數,家,77,7
2013,桃園縣,礦業及土石採取業,家數,家,63, 
2013,臺中市,礦業及土石採取業,家數,家,91,8
2013,臺南市,礦業及土石採取業,家數,家,50, 
2013,高雄市,礦業及土石採取業,家數,家,113,10
2013,基隆市,礦業及土石採取業,家數,家,6, 
2013,宜蘭縣,礦業及土石採取業,家數,家,119,10
2013,新竹市,礦業及土石採取業,家數,家,16, 
2013,新竹縣,礦業及土石採取業,家數,家,36, 
2013,苗栗縣,礦業及土石採取業,家數,家,67,6
2013,彰化縣,礦業及土石採取業,家數,家,36, 
2013,南投縣,礦業及土石採取業,家數,家,56, 
2013,雲林縣,礦業及土石採取業,家數,家,44, 
2013,嘉義市,礦業及土石採取業,家數,家,,0
2013,嘉義縣,礦業及土石採取業,家數,家,13, 
2013,屏東縣,礦業及土石採取業,家數,家,47, 
2013,澎湖縣,礦業及土石採取業,家數,家,8, 
2013,花蓮縣,礦業及土石採取業,家數,家,164,14
2013,臺東縣,礦業及土石採取業,家數,家,61, 
2013,金門縣,礦業及土石採取業,家數,家,6, 
2013,連江縣,礦業及土石採取業,家數,家,0,0
2013,總計,製造業,家數,家,139099,5661
2013,臺北市,製造業,家數,家,6889,868
2013,新北市,製造業,家數,家,32543,1016
2013,桃園縣,製造業,家數,家,11270,854
2013,臺中市,製造業,家數,家,29705,673
2013,臺南市,製造業,家數,家,12388,481
2013,高雄市,製造業,家數,家,9269,463
2013,基隆市,製造業,家數,家,692,18
2013,宜蘭縣,製造業,家數,家,2385,54
2013,新竹市,製造業,家數,家,2338,232
2013,新竹縣,製造業,家數,家,2524,322
2013,苗栗縣,製造業,家數,家,2614,142
2013,彰化縣,製造業,家數,家,17122,272
2013,南投縣,製造業,家數,家,1692,67
2013,雲林縣,製造業,家數,家,1998,55
2013,嘉義市,製造業,家數,家,829,6
2013,嘉義縣,製造業,家數,家,1889,55
2013,屏東縣,製造業,家數,家,1511,72
2013,澎湖縣,製造業,家數,家,252,0
2013,花蓮縣,製造業,家數,家,671,8
2013,臺東縣,製造業,家數,家,295, 
2013,金門縣,製造業,家數,家,197, 
2013,連江縣,製造業,家數,家,26, 
2013,總計,電力及燃氣供應業,家數,家,423,130
2013,臺北市,電力及燃氣供應業,家數,家,64,17
2013,新北市,電力及燃氣供應業,家數,家,56,18
2013,桃園縣,電力及燃氣供應業,家數,家,18,8
2013,臺中市,電力及燃氣供應業,家數,家,40,15
