年度,縣市別,統計項目,單位,中小企業(千人),大企業(千人),政府僱用(千人)

2013,總計,就業人數,千人,8588,1359,1020
2013,臺北市,就業人數,千人,843,239,161
2013,新北市,就業人數,千人,1592,157,161
2013,桃園縣,就業人數,千人,695,197,63
2013,臺中市,就業人數,千人,1066,109,102
2013,臺南市,就業人數,千人,730,114,81
2013,高雄市,就業人數,千人,998,174,121
2013,基隆市,就業人數,千人,144,9,21
2013,宜蘭縣,就業人數,千人,178,14,25
2013,新竹市,就業人數,千人,124,57,17
2013,新竹縣,就業人數,千人,144,79,15
2013,苗栗縣,就業人數,千人,187,49,25
2013,彰化縣,就業人數,千人,533,45,41
2013,南投縣,就業人數,千人,211,14,28
2013,雲林縣,就業人數,千人,266,35,32
2013,嘉義市,就業人數,千人,90,12,19
2013,嘉義縣,就業人數,千人,219,20,17
2013,屏東縣,就業人數,千人,337,20,43
2013,澎湖縣,就業人數,千人,28,1,12
2013,花蓮縣,就業人數,千人,114,11,22
2013,臺東縣,就業人數,千人,88,2,14
2014,總計,就業人數,千人,8669,1387,1023
2014,臺北市,就業人數,千人,1345,302,252
2014,新北市,就業人數,千人,1349,132,108
2014,桃園市,就業人數,千人,732,220,69
2014,臺中市,就業人數,千人,1181,119,100
2014,臺南市,就業人數,千人,735,115,67
2014,高雄市,就業人數,千人,1004,172,121
2014,基隆市,就業人數,千人,90,5,19
2014,宜蘭縣,就業人數,千人,150,7,22
2014,新竹市,就業人數,千人,167,111,21
2014,新竹縣,就業人數,千人,146,60,16
2014,苗栗縣,就業人數,千人,146,37,24
2014,彰化縣,就業人數,千人,454,33,34
2014,南投縣,就業人數,千人,173,7,25
2014,雲林縣,就業人數,千人,225,33,27
2014,嘉義市,就業人數,千人,94,7,17
2014,嘉義縣,就業人數,千人,159,11,19
2014,屏東縣,就業人數,千人,270,8,34
2014,澎湖縣,就業人數,千人,23,0,11
2014,花蓮縣,就業人數,千人,96,8,23
2014,臺東縣,就業人數,千人,72,1,14
2014,金馬,就業人數,千人,1,0,0
2014,其他,就業人數,千人,57,0,0
2015,總計,就業人數,千人,8759,1415,1024
2015,臺北市,就業人數,千人,1360,303,249
2015,新北市,就業人數,千人,1370,127,110
2015,桃園市,就業人數,千人,732,232,71
2015,臺中市,就業人數,千人,1188,125,97
2015,臺南市,就業人數,千人,749,119,69
2015,高雄市,就業人數,千人,1022,173,121
2015,基隆市,就業人數,千人,86,5,18
2015,宜蘭縣,就業人數,千人,153,7,21
2015,新竹市,就業人數,千人,164,112,21
2015,新竹縣,就業人數,千人,154,62,16
2015,苗栗縣,就業人數,千人,142,46,23
2015,彰化縣,就業人數,千人,458,31,36
2015,南投縣,就業人數,千人,177,9,26
2015,雲林縣,就業人數,千人,223,30,28
2015,嘉義市,就業人數,千人,92,7,16
2015,嘉義縣,就業人數,千人,167,11,18
2015,屏東縣,就業人數,千人,263,10,36
2015,澎湖縣,就業人數,千人,23,0,10
2015,花蓮縣,就業人數,千人,101,6,23
2015,臺東縣,就業人數,千人,73,2,15
2015,金馬,就業人數,千人,1,-,0
2015,其他,就業人數,千人,62,-,-
2016,總計,就業人數,千人,8810,1432,1025
2016,臺北市,就業人數,千人,1342,301,250
2016,新北市,就業人數,千人,1375,133,110
2016,桃園市,就業人數,千人,753,246,74
2016,臺中市,就業人數,千人,1191,123,99
2016,臺南市,就業人數,千人,756,116,68
2016,高雄市,就業人數,千人,1025,159,114
2016,基隆市,就業人數,千人,88,6,18
2016,宜蘭縣,就業人數,千人,152,8,22
2016,新竹市,就業人數,千人,173,122,22
2016,新竹縣,就業人數,千人,150,56,14
2016,苗栗縣,就業人數,千人,149,48,21
2016,彰化縣,就業人數,千人,458,37,36
2016,南投縣,就業人數,千人,175,9,26
2016,雲林縣,就業人數,千人,225,30,30
2016,嘉義市,就業人數,千人,95,7,15
2016,嘉義縣,就業人數,千人,170,11,18
2016,屏東縣,就業人數,千人,269,10,34
2016,澎湖縣,就業人數,千人,24,0,11
2016,花蓮縣,就業人數,千人,102,8,24
2016,臺東縣,就業人數,千人,70,3,17
2016,金馬,就業人數,千人,0,,0
2016,其他,就業人數,千人,59,,0
2017,總計,就業人數,千人,8904,1425,1023
2017,臺北市,就業人數,千人,1338,289,251
2017,新北市,就業人數,千人,1405,132,113
2017,桃園市,就業人數,千人,765,253,72
2017,臺中市,就業人數,千人,1194,116,104
2017,臺南市,就業人數,千人,757,120,64
2017,高雄市,就業人數,千人,1035,157,117
2017,基隆市,就業人數,千人,90,6,18
2017,宜蘭縣,就業人數,千人,158,9,20
2017,新竹市,就業人數,千人,184,126,25
2017,新竹縣,就業人數,千人,142,50,15
2017,苗栗縣,就業人數,千人,149,49,20
2017,彰化縣,就業人數,千人,457,37,34
2017,南投縣,就業人數,千人,178,9,26
2017,雲林縣,就業人數,千人,229,30,30
2017,嘉義市,就業人數,千人,101,8,16
2017,嘉義縣,就業人數,千人,172,14,19
