年度,行業別,統計項目,單位,男女合計(百萬元),女性企業總計(百萬元),女性企業中小企業(百萬元),女性企業大企業(百萬元)
2013,農、林、漁、牧業,內銷額,百萬元,34650,8911,4172,4739
2013,礦業及土石採取業,內銷額,百萬元,47193,4641,4077,
2013,製造業,內銷額,百萬元,7225125,731289,530783,200506
2013,電力及燃氣供應業,內銷額,百萬元,915955,6550,751,5798
2013,用水供應及污染整治業,內銷額,百萬元,169527,39479,15742,23737
2013,營造業,內銷額,百萬元,1917188,390046,308680,81367
2013,批發及零售業,內銷額,百萬元,9778127,2096189,1093535,1002654
2013,運輸及倉儲業,內銷額,百萬元,719289,113518,70999,42519
2013,住宿及餐飲業,內銷額,百萬元,454992,137992,119316,18676
2013,資訊及通訊傳播業,內銷額,百萬元,824634,99572,25975,73596
2013,金融及保險業,內銷額,百萬元,2059634,302211,50856,251355
2013,不動產業,內銷額,百萬元,1138144,217490,58015,159475
2013,專業、科學及技術服務業,內銷額,百萬元,451754,119581,58605,60976
2013,支援服務業,內銷額,百萬元,327844,65187,41802,23385
2013,教育服務業,內銷額,百萬元,9954,2249,1771,
2013,醫療保健及社會工作服務業,內銷額,百萬元,5697,588,588,0
2013,藝術、娛樂及休閒服務業,內銷額,百萬元,76680,16487,12933,3554
2013,其他服務業,內銷額,百萬元,199649,55071,40768,14303
2014,農、林、漁、牧業,內銷額,百萬元,40164,8654,4576,4078
2014,礦業及土石採取業,內銷額,百萬元,47446,4857,4671,
2014,製造業,內銷額,百萬元,7537996,783964,584196,199768
2014,電力及燃氣供應業,內銷額,百萬元,983764,7317,713,6603
2014,用水供應及污染整治業,內銷額,百萬元,175487,42447,15423,27023
2014,營造業,內銷額,百萬元,2038106,423566,331077,92489
2014,批發及零售業,內銷額,百萬元,10291160,2153165,1127834,1025331
2014,運輸及倉儲業,內銷額,百萬元,733402,126230,71798,54432
2014,住宿及餐飲業,內銷額,百萬元,500707,151669,128994,22675
2014,資訊及通訊傳播業,內銷額,百萬元,778569,117841,26255,91586
2014,金融及保險業,內銷額,百萬元,2247838,341222,57026,284196
2014,不動產業,內銷額,百萬元,1119408,201178,60716,140462
2014,專業、科學及技術服務業,內銷額,百萬元,468877,118249,61689,56560
2014,支援服務業,內銷額,百萬元,360634,70945,43681,27264
2014,教育服務業,內銷額,百萬元,11711,,2066,
2014,醫療保健及社會工作服務業,內銷額,百萬元,6321,,619,
2014,藝術、娛樂及休閒服務業,內銷額,百萬元,81247,18543,13700,4843
2014,其他服務業,內銷額,百萬元,207795,63920,42662,21258
2015,農、林、漁、牧業,內銷額,百萬元,38908,9218,4604,4614
2015,礦業及土石採取業,內銷額,百萬元,44372,4282,4021,
2015,製造業,內銷額,百萬元,6809681,769959,575525,194435
2015,電力及燃氣供應業,內銷額,百萬元,865285,5796,913,4884
2015,用水供應及污染整治業,內銷額,百萬元,158569,38567,15699,22868
2015,營造業,內銷額,百萬元,2095922,439780,351418,88362
2015,批發及零售業,內銷額,百萬元,9901994,2198021,1134125,1063896
2015,運輸及倉儲業,內銷額,百萬元,746928,118890,73563,45327
2015,住宿及餐飲業,內銷額,百萬元,531089,169575,138680,30895
2015,資訊及通訊傳播業,內銷額,百萬元,875253,103838,26992,76846
2015,金融及保險業,內銷額,百萬元,2277122,342971,59776,283195
2015,不動產業,內銷額,百萬元,1102425,179073,62497,116576
2015,專業、科學及技術服務業,內銷額,百萬元,473209,124941,61164,63777
2015,支援服務業,內銷額,百萬元,386208,75474,47532,27943
2015,教育服務業,內銷額,百萬元,13687,3021,2359,
2015,醫療保健及社會工作服務業,內銷額,百萬元,9578,748,748,
2015,藝術、娛樂及休閒服務業,內銷額,百萬元,86083,19316,15470,3846
2015,其他服務業,內銷額,百萬元,212059,67520,44159,23361
2016,農、林、漁、牧業,內銷額,百萬元,38671,8882,5192,3690
2016,礦業及土石採取業,內銷額,百萬元,42266,4488,4047,
2016,製造業,內銷額,百萬元,6655353,773237,566627,206610
2016,電力及燃氣供應業,內銷額,百萬元,764616,5207,1084,4123
2016,用水供應及污染整治業,內銷額,百萬元,161635,40117,16263,23854
2016,營建工程業,內銷額,百萬元,1998415,430407,352536,77871
2016,批發及零售業,內銷額,百萬元,9886725,2247436,1141732,1105704
2016,運輸及倉儲業,內銷額,百萬元,769823,120876,74545,46331
2016,住宿及餐飲業,內銷額,百萬元,587414,205041,169041,36000
2016,出版、影音製作、傳播及資通訊服務業,內銷額,百萬元,869429,103176,27718,75457
2016,金融及保險業,內銷額,百萬元,2159186,368475,59995,308480
2016,不動產業,內銷額,百萬元,1028236,171993,60397,111596
2016,專業、科學及技術服務業,內銷額,百萬元,474207,113152,62048,51105
2016,支援服務業,內銷額,百萬元,387637,79003,49423,29580
2016,教育業,內銷額,百萬元,15081,3578,2782,
2016,醫療保健及社會工作服務業,內銷額,百萬元,24467,840,711,
2016,藝術、娛樂及休閒服務業,內銷額,百萬元,85396,19044,15494,3550
2016,其他服務業,內銷額,百萬元,220704,66865,45180,21685
2017,農、林、漁、牧業,內銷額,百萬元,45825,11218,6128,5090
2017,礦業及土石採取業,內銷額,百萬元,42782,4758,4138,
2017,製造業,內銷額,百萬元,7121518,823151,591187,231963
2017,電力及燃氣供應業,內銷額,百萬元,814000,5769,1351,4418
2017,用水供應及污染整治業,內銷額,百萬元,195545,54769,17352,37417
2017,營建工程業,內銷額,百萬元,2022440,457229,357632,99597
2017,批發及零售業,內銷額,百萬元,10372745,2323491,1162245,1161246
2017,運輸及倉儲業,內銷額,百萬元,804536,148494,77163,71331
2017,住宿及餐飲業,內銷額,百萬元,624184,200940,163963,36976
2017,出版、影音製作、傳播及資通訊服務業,內銷額,百萬元,883202,123505,27942,95563
2017,金融及保險業,內銷額,百萬元,2115258,385574,64661,320913
2017,不動產業,內銷額,百萬元,1130174,188937,65838,123099
2017,專業、科學及技術服務業,內銷額,百萬元,477231,111047,65364,45683
2017,支援服務業,內銷額,百萬元,355789,84182,51416,32766
2017,教育業,內銷額,百萬元,15652,4511,3261,
2017,醫療保健及社會工作服務業,內銷額,百萬元,27730,4201,3502,
2017,藝術、娛樂及休閒服務業,內銷額,百萬元,94245,20603,16670,3933
2017,其他服務業,內銷額,百萬元,219846,65573,46063,19511
2018,農、林、漁、牧業,內銷額,百萬元,45499,10264,6712,3553
2018,礦業及土石採取業,內銷額,百萬元,48710,4616,4520,
2018,製造業,內銷額,百萬元,7474688,871949,616076,255873
2018,電力及燃氣供應業,內銷額,百萬元,866974,25453,2062,23391
2018,用水供應及污染整治業,內銷額,百萬元,199550,51001,18344,32657
2018,營建工程業,內銷額,百萬元,2210145,492992,387901,105091
2018,批發及零售業,內銷額,百萬元,10879998,2522045,1185790,1336255
2018,運輸及倉儲業,內銷額,百萬元,851355,160970,79814,81156
2018,住宿及餐飲業,內銷額,百萬元,656482,218798,176296,42502
2018,出版、影音製作、傳播及資通訊服務業,內銷額,百萬元,937994,129141,28946,100195
2018,金融及保險業,內銷額,百萬元,2362913,427602,67696,359906
2018,不動產業,內銷額,百萬元,1210352,198377,71219,127159
2018,專業、科學及技術服務業,內銷額,百萬元,508151,106949,69997,36952
2018,支援服務業,內銷額,百萬元,376414,84181,54411,29770
2018,教育業,內銷額,百萬元,18714,5606,4209,1398
2018,醫療保健及社會工作服務業,內銷額,百萬元,30626,5191,4737,
2018,藝術、娛樂及休閒服務業,內銷額,百萬元,102313,23671,18688,4983
2018,其他服務業,內銷額,百萬元,229339,56736,47720,9016
2019,農、林、漁、牧業,內銷額,百萬元,49400,10194,6551,3643
2019,礦業及土石採取業,內銷額,百萬元,51541,5725,5621,
2019,製造業,內銷額,百萬元,7240720,888480,597370,291110
2019,電力及燃氣供應業,內銷額,百萬元,898013,38652,3239,35413
2019,用水供應及污染整治業,內銷額,百萬元,188518,47500,18271,29229
2019,營建工程業,內銷額,百萬元,2329112,527404,414108,113296
2019,批發及零售業,內銷額,百萬元,11018107,2670298,1201879,1468419
2019,運輸及倉儲業,內銷額,百萬元,879076,162376,82213,80163
2019,住宿及餐飲業,內銷額,百萬元,691830,228276,186244,42033
2019,出版、影音製作、傳播及資通訊服務業,內銷額,百萬元,942775,128232,30569,97663
2019,金融及保險業,內銷額,百萬元,2429610,483020,69462,413558
2019,不動產業,內銷額,百萬元,1402168,255307,78736,176571
2019,專業、科學及技術服務業,內銷額,百萬元,527968,116738,75493,41245
2019,支援服務業,內銷額,百萬元,403017,86815,57823,28992
2019,教育業,內銷額,百萬元,20576,6223,4895,1328
2019,醫療保健及社會工作服務業,內銷額,百萬元,32288,5682,5302,
2019,藝術、娛樂及休閒服務業,內銷額,百萬元,111725,25383,20000,5383
2019,其他服務業,內銷額,百萬元,241001,62345,50006,12338
2020,農、林、漁、牧業,內銷額,百萬元,49538,9677,8041,1636
2020,礦業及土石採取業,內銷額,百萬元,50490,6535,6535,0
2020,製造業,內銷額,百萬元,7237105,904831,624565,280266
2020,電力及燃氣供應業,內銷額,百萬元,868848,38830,30300,8530
2020,用水供應及污染整治業,內銷額,百萬元,188536,44078,40370,3708
2020,營建工程業,內銷額,百萬元,2547495,571053,463377,107676
2020,批發及零售業,內銷額,百萬元,11344701,2786096,2261242,524854
2020,運輸及倉儲業,內銷額,百萬元,857153,140145,134101,6043
2020,住宿及餐飲業,內銷額,百萬元,652440,240528,229204,11324
2020,出版、影音製作、傳播及資通訊服務業,內銷額,百萬元,985012,96726,64263,32463
2020,金融及保險業,內銷額,百萬元,2464553,559130,438486,120644
2020,不動產業,內銷額,百萬元,1667714,311421,215833,95588
2020,專業、科學及技術服務業,內銷額,百萬元,543602,123786,113707,10079
2020,支援服務業,內銷額,百萬元,454527,83994,76403,7591
2020,教育業,內銷額,百萬元,21742,6612,6141,471
2020,醫療保健及社會工作服務業,內銷額,百萬元,33628,6667,6432,
2020,藝術、娛樂及休閒服務業,內銷額,百萬元,109399,25857,22478,3379
2020,其他服務業,內銷額,百萬元,233975,62265,58358,3907
2021,農、林、漁、牧業,內銷額,百萬元,54939,11441,8864,2577
2021,礦業及土石採取業,內銷額,百萬元,55055,7393,6055,
2021,製造業,內銷額,百萬元,8879930,1069438,752689,316749
2021,電力及燃氣供應業,內銷額,百萬元,924937,39319,31101,8218
2021,用水供應及污染整治業,內銷額,百萬元,221043,51970,47849,4121
2021,營建工程業,內銷額,百萬元,2900604,623592,504321,119270
2021,批發及零售業,內銷額,百萬元,12550332,3060410,2442421,617989
2021,運輸及倉儲業,內銷額,百萬元,1029081,164477,152466,12011
2021,住宿及餐飲業,內銷額,百萬元,634250,237502,226651,10851
2021,出版、影音製作、傳播及資通訊服務業,內銷額,百萬元,1119822,106398,70678,35720
2021,金融及保險業,內銷額,百萬元,2574245,592090,454584,137506
2021,不動產業,內銷額,百萬元,1809676,359539,243901,115638
2021,專業、科學及技術服務業,內銷額,百萬元,660721,187949,124658,63291
2021,支援服務業,內銷額,百萬元,479841,89727,81913,7814
2021,教育業,內銷額,百萬元,22603,6398,6026,372
2021,醫療保健及社會工作服務業,內銷額,百萬元,35082,7749,7510,
2021,藝術、娛樂及休閒服務業,內銷額,百萬元,93663,21912,20379,1533
2021,其他服務業,內銷額,百萬元,223871,56602,52559,4043
2022,農、林、漁、牧業與礦業及土石採取業,內銷額,百萬元,129694,19116,17201,1915
2022,製造業,內銷額,百萬元,9064556,1071968,733917,338051
2022,電力及燃氣供應業與用水供應及污染整治業,內銷額,百萬元,1366356,94663,86460,8203
2022,營建工程業,內銷額,百萬元,3360502,715599,593847,121752
2022,批發及零售業,內銷額,百萬元,13423744,3261059,2590889,670170
2022,運輸及倉儲業,內銷額,百萬元,1257875,186650,173393,13257
