年度,行業別,統計項目,單位,男女合計(百萬元),女性企業總計(百萬元),女性企業中小企業(百萬元),女性企業大企業(百萬元)
2013,農、林、漁、牧業,出口額,百萬元,5257,907,419,488
2013,礦業及土石採取業,出口額,百萬元,525,61,58, 
2013,製造業,出口額,百萬元,5459765,266174,114776,151399
2013,電力及燃氣供應業,出口額,百萬元,13701,0,0,0
2013,用水供應及污染整治業,出口額,百萬元,9960,1070,520,551
2013,營造業,出口額,百萬元,22420,1868,1438,430
2013,批發及零售業,出口額,百萬元,2229288,487932,127122,360810
2013,運輸及倉儲業,出口額,百萬元,215000,15504,2005,13499
2013,住宿及餐飲業,出口額,百萬元,1125,113,112,1
2013,資訊及通訊傳播業,出口額,百萬元,91788,14036,1100,12936
2013,金融及保險業,出口額,百萬元,4506,301,299,2
2013,不動產業,出口額,百萬元,3802,1609,210,1399
2013,專業、科學及技術服務業,出口額,百萬元,130715,3468,1607,1862
2013,支援服務業,出口額,百萬元,3611,720,197,523
2013,教育服務業,出口額,百萬元,90,7,7,0
2013,醫療保健及社會工作服務業,出口額,百萬元,154,0,0,0
2013,藝術、娛樂及休閒服務業,出口額,百萬元,211,88,86,2
2013,其他服務業,出口額,百萬元,1361,270,63,206
2014,農、林、漁、牧業,出口額,百萬元,6408,1002,574,428
2014,礦業及土石採取業,出口額,百萬元,484,44,44,0
2014,製造業,出口額,百萬元,5745506,283376,129806,153570
2014,電力及燃氣供應業,出口額,百萬元,16601,1,1,0
2014,用水供應及污染整治業,出口額,百萬元,10387,1244,426,818
2014,營造業,出口額,百萬元,28314,3258,1405,1853
2014,批發及零售業,出口額,百萬元,2227051,458178,128778,329400
2014,運輸及倉儲業,出口額,百萬元,244859,18591,1770,16821
2014,住宿及餐飲業,出口額,百萬元,1362,143,57,86
2014,資訊及通訊傳播業,出口額,百萬元,92400,3917,1457,2459
2014,金融及保險業,出口額,百萬元,4487,660,317,343
2014,不動產業,出口額,百萬元,2893,588,205,383
2014,專業、科學及技術服務業,出口額,百萬元,128486,4018,1557,2461
2014,支援服務業,出口額,百萬元,4692,800,226,574
2014,教育服務業,出口額,百萬元,82, ,7, 
2014,醫療保健及社會工作服務業,出口額,百萬元,2439, ,1, 
2014,藝術、娛樂及休閒服務業,出口額,百萬元,347,49,41,8
2014,其他服務業,出口額,百萬元,659,295,56,239
2015,農、林、漁、牧業,出口額,百萬元,7052,1135,668,467
2015,礦業及土石採取業,出口額,百萬元,449,34,34,0
2015,製造業,出口額,百萬元,5186173,291062,132654,158408
2015,電力及燃氣供應業,出口額,百萬元,15422,3,3,0
2015,用水供應及污染整治業,出口額,百萬元,7592,1107,378,729
2015,營造業,出口額,百萬元,40495,3842,1857,1985
2015,批發及零售業,出口額,百萬元,2083479,403596,128469,275127
2015,運輸及倉儲業,出口額,百萬元,274293,13277,1666,11612
2015,住宿及餐飲業,出口額,百萬元,1504,212,66,146
2015,資訊及通訊傳播業,出口額,百萬元,96429,4296,1870,2426
2015,金融及保險業,出口額,百萬元,7498,707,310,397
2015,不動產業,出口額,百萬元,2882,616,190,426
2015,專業、科學及技術服務業,出口額,百萬元,133173,17253,1602,15651
2015,支援服務業,出口額,百萬元,5274,904,328,576
2015,教育服務業,出口額,百萬元,74,12,12,0
2015,醫療保健及社會工作服務業,出口額,百萬元,2554,4,4, 
2015,藝術、娛樂及休閒服務業,出口額,百萬元,324,63,63,0
2015,其他服務業,出口額,百萬元,2114,237,128,109
2016,農、林、漁、牧業,出口額,百萬元,7460,1055,611,444
2016,礦業及土石採取業,出口額,百萬元,430,32,32,0
2016,製造業,出口額,百萬元,4907159,315606,129512,186095
2016,電力及燃氣供應業,出口額,百萬元,13950,4,4,0
2016,用水供應及污染整治業,出口額,百萬元,7894,858,392,466
2016,營建工程業,出口額,百萬元,57964,3916,1607,2309
2016,批發及零售業,出口額,百萬元,2025364,387566,124391,263175
2016,運輸及倉儲業,出口額,百萬元,266805,52270,1644,50625
2016,住宿及餐飲業,出口額,百萬元,1751,235,61,173
2016,出版、影音製作、傳播及資通訊服務業,出口額,百萬元,95212,3895,1710,2185
2016,金融及保險業,出口額,百萬元,2566,423,267,156
2016,不動產業,出口額,百萬元,2697,238,81,157
2016,專業、科學及技術服務業,出口額,百萬元,141314,16822,2029,14793
2016,支援服務業,出口額,百萬元,5430,1917,236,1681
2016,教育業,出口額,百萬元,78,24,24,0
2016,醫療保健及社會工作服務業,出口額,百萬元,3119,18,18,0
2016,藝術、娛樂及休閒服務業,出口額,百萬元,299,35,35,0
2016,其他服務業,出口額,百萬元,965,141,90,51
2017,農、林、漁、牧業,出口額,百萬元,7255,1271,768,503
2017,礦業及土石採取業,出口額,百萬元,454,28,28,0
2017,製造業,出口額,百萬元,5174522,325270,127921,197348
