年度,行業別,統計項目,單位,男女合計(百萬元),女性企業總計(百萬元),女性企業中小企業(百萬元),女性企業大企業(百萬元)
2013,農、林、漁、牧業,銷售額,百萬元,39908,9817,4591,5227
2013,礦業及土石採取業,銷售額,百萬元,47718,4701,4135,
2013,製造業,銷售額,百萬元,12684890,997463,645559,351904
2013,電力及燃氣供應業,銷售額,百萬元,929656,6550,751,5798
2013,用水供應及污染整治業,銷售額,百萬元,179488,40550,16262,24287
2013,營造業,銷售額,百萬元,1939608,391914,310118,81797
2013,批發及零售業,銷售額,百萬元,12007415,2584121,1220657,1363464
2013,運輸及倉儲業,銷售額,百萬元,934289,129023,73004,56018
2013,住宿及餐飲業,銷售額,百萬元,456117,138105,119428,18677
2013,資訊及通訊傳播業,銷售額,百萬元,916421,113607,27075,86533
2013,金融及保險業,銷售額,百萬元,2064141,302512,51155,251357
2013,不動產業,銷售額,百萬元,1141946,219099,58225,160874
2013,專業、科學及技術服務業,銷售額,百萬元,582468,123049,60211,62838
2013,支援服務業,銷售額,百萬元,331455,65906,41999,23907
2013,教育服務業,銷售額,百萬元,10044,2257,1779,
2013,醫療保健及社會工作服務業,銷售額,百萬元,5851,589,589,0
2013,藝術、娛樂及休閒服務業,銷售額,百萬元,76891,16576,13019,3556
2013,其他服務業,銷售額,百萬元,201010,55340,40831,14509
2014,農、林、漁、牧業,銷售額,百萬元,46572,9656,5150,4506
2014,礦業及土石採取業,銷售額,百萬元,47931,4901,4716,
2014,製造業,銷售額,百萬元,13283502,1067340,714001,353338
2014,電力及燃氣供應業,銷售額,百萬元,1000365,7318,715,6603
2014,用水供應及污染整治業,銷售額,百萬元,185874,43690,15849,27841
2014,營造業,銷售額,百萬元,2066420,426824,332483,94342
2014,批發及零售業,銷售額,百萬元,12518211,2611343,1256612,1354731
2014,運輸及倉儲業,銷售額,百萬元,978260,144822,73569,71253
2014,住宿及餐飲業,銷售額,百萬元,502069,151812,129050,22761
2014,資訊及通訊傳播業,銷售額,百萬元,870970,121757,27713,94045
2014,金融及保險業,銷售額,百萬元,2252326,341882,57343,284540
2014,不動產業,銷售額,百萬元,1122301,201766,60921,140845
2014,專業、科學及技術服務業,銷售額,百萬元,597363,122267,63246,59021
2014,支援服務業,銷售額,百萬元,365326,71745,43907,27838
2014,教育服務業,銷售額,百萬元,11793,,2073,
2014,醫療保健及社會工作服務業,銷售額,百萬元,8759,,620,
2014,藝術、娛樂及休閒服務業,銷售額,百萬元,81595,18591,13740,4851
2014,其他服務業,銷售額,百萬元,208454,64215,42718,21497
2015,農、林、漁、牧業,銷售額,百萬元,45960,10353,5272,5081
2015,礦業及土石採取業,銷售額,百萬元,44821,4316,4055,
2015,製造業,銷售額,百萬元,11995854,1061021,708179,352842
2015,電力及燃氣供應業,銷售額,百萬元,880707,5800,916,4884
2015,用水供應及污染整治業,銷售額,百萬元,166161,39674,16077,23597
2015,營造業,銷售額,百萬元,2136416,443622,353275,90346
2015,批發及零售業,銷售額,百萬元,11985473,2601617,1262594,1339023
2015,運輸及倉儲業,銷售額,百萬元,1021221,132167,75229,56939
2015,住宿及餐飲業,銷售額,百萬元,532592,169787,138746,31041
2015,資訊及通訊傳播業,銷售額,百萬元,971682,108134,28862,79272
2015,金融及保險業,銷售額,百萬元,2284620,343678,60086,283593
2015,不動產業,銷售額,百萬元,1105307,179688,62687,117002
2015,專業、科學及技術服務業,銷售額,百萬元,606382,142193,62766,79427
2015,支援服務業,銷售額,百萬元,391482,76379,47860,28519
2015,教育服務業,銷售額,百萬元,13760,3033,2372,
2015,醫療保健及社會工作服務業,銷售額,百萬元,12132,752,752,
2015,藝術、娛樂及休閒服務業,銷售額,百萬元,86407,19379,15533,3846
2015,其他服務業,銷售額,百萬元,214172,67757,44287,23470
2016,農、林、漁、牧業,銷售額,百萬元,46131,9937,5803,4133
2016,礦業及土石採取業,銷售額,百萬元,42696,4520,4079,
2016,製造業,銷售額,百萬元,11562512,1088843,696139,392705
2016,電力及燃氣供應業,銷售額,百萬元,778566,5211,1088,4123
2016,用水供應及污染整治業,銷售額,百萬元,169529,40975,16655,24320
2016,營建工程業,銷售額,百萬元,2056379,434323,354144,80179
2016,批發及零售業,銷售額,百萬元,11912090,2635001,1266123,1368879
2016,運輸及倉儲業,銷售額,百萬元,1036629,173146,76189,96957
2016,住宿及餐飲業,銷售額,百萬元,589165,205276,169102,36174
2016,出版、影音製作、傳播及資通訊服務業,銷售額,百萬元,964641,107071,29429,77642
2016,金融及保險業,銷售額,百萬元,2161752,368899,60262,308637
2016,不動產業,銷售額,百萬元,1030933,172232,60478,111754
2016,專業、科學及技術服務業,銷售額,百萬元,615521,129974,64077,65898
2016,支援服務業,銷售額,百萬元,393067,80920,49660,31261
2016,教育業,銷售額,百萬元,15159,3602,2805,
2016,醫療保健及社會工作服務業,銷售額,百萬元,27586,858,729,
2016,藝術、娛樂及休閒服務業,銷售額,百萬元,85695,19079,15528,3550
2016,其他服務業,銷售額,百萬元,221670,67006,45270,21736
2017,農、林、漁、牧業,銷售額,百萬元,53081,12489,6896,5593
2017,礦業及土石採取業,銷售額,百萬元,43237,4786,4166,
2017,製造業,銷售額,百萬元,12296039,1148420,719108,429312
2017,電力及燃氣供應業,銷售額,百萬元,826420,5774,1356,4418
2017,用水供應及污染整治業,銷售額,百萬元,205456,55777,17844,37933
2017,營建工程業,銷售額,百萬元,2067530,462700,359375,103326
2017,批發及零售業,銷售額,百萬元,12493034,2708290,1282776,1425513
2017,運輸及倉儲業,銷售額,百萬元,1105359,206598,78989,127609
2017,住宿及餐飲業,銷售額,百萬元,625913,201286,163990,37297
2017,出版、影音製作、傳播及資通訊服務業,銷售額,百萬元,984126,128338,29998,98341
2017,金融及保險業,銷售額,百萬元,2122767,387167,64903,322264
2017,不動產業,銷售額,百萬元,1132975,189375,66135,123240
2017,專業、科學及技術服務業,銷售額,百萬元,616187,129943,67354,62590
2017,支援服務業,銷售額,百萬元,361383,86094,51702,34392
2017,教育業,銷售額,百萬元,15739,4537,3287,
2017,醫療保健及社會工作服務業,銷售額,百萬元,27923,4197,3499,
2017,藝術、娛樂及休閒服務業,銷售額,百萬元,94709,20673,16737,3936
2017,其他服務業,銷售額,百萬元,223355,65682,46145,19537
2018,農、林、漁、牧業,銷售額,百萬元,52034,11613,7472,4142
2018,礦業及土石採取業,銷售額,百萬元,49154,4650,4554,
2018,製造業,銷售額,百萬元,13034311,1219496,745432,474063
