年度,檔案名稱,下載連結,關鍵字,機關
113,113年度-中小企業家數－按行業別.csv,https://www.sme.gov.tw/files/13230/CB08E3EF-C554-4EA7-A475-F0DA26B83F2C,家數、行業別,經濟部中小及新創企業署
113,113年度-中小企業就業人數－按行業別.csv,https://www.sme.gov.tw/files/13230/225A4122-13D6-4B72-A03F-EBFEB0EEF4C1,就業人數、行業別,經濟部中小及新創企業署
113,113年度-中小企業就業人數－按性別.csv,https://www.sme.gov.tw/files/13230/36E66964-1339-4CAE-81D1-01B63E6D31CC,就業人數、性別,經濟部中小及新創企業署
113,113年度-中小企業銷售額－按行業別.csv,https://www.sme.gov.tw/files/13230/908F5F9E-CE82-4E09-9538-956E04F568E4,銷售額、行業別,經濟部中小及新創企業署
113,113年度-中小企業出口額－按行業別.csv,https://www.sme.gov.tw/files/13230/985E2F0F-4B72-40DC-8D10-10E5FC6BA1B6,出口額、行業別,經濟部中小及新創企業署
112,112年度-中小企業家數－按行業別.csv,https://www.sme.gov.tw/files/12183/9010AEB3-8E1B-47AD-B401-07D45751C635,家數、行業別,經濟部中小及新創企業署
112,112年度-中小企業就業人數－按行業別.csv,https://www.sme.gov.tw/files/12183/AC8C3A99-ABB2-4501-9A8D-9CFF72FCFCE1,就業人數、行業別,經濟部中小及新創企業署
112,112年度-中小企業就業人數－按性別.csv,https://www.sme.gov.tw/files/12183/AC7B6162-BD57-483D-A317-80C43953A3C0,就業人數、性別,經濟部中小及新創企業署
112,112年度-中小企業銷售額－按行業別.csv,https://www.sme.gov.tw/files/12183/C72EE4A3-4868-4E16-9B5C-40882F6E7E8C,銷售額、行業別,經濟部中小及新創企業署
112,112年度-中小企業出口額－按行業別.csv,https://www.sme.gov.tw/files/12183/D210AA85-E838-449C-A7D3-A04761A5BCEA,出口額、行業別,經濟部中小及新創企業署
111,111年度-中小企業家數－按行業別.csv,https://www.sme.gov.tw/files/11286/07D1A7BD-EABB-44DB-8C5C-E1F0E379A7BE,家數、行業別,經濟部中小及新創企業署
111,111年度-中小企業就業人數－按行業別.csv,https://www.sme.gov.tw/files/11286/FFC5FA12-B0BD-4F40-89E7-5A2160D38201,就業人數、行業別,經濟部中小及新創企業署
111,111年度-中小企業就業人數－按性別.csv,https://www.sme.gov.tw/files/11286/8023EF2A-8BDE-49FE-88DE-31DF8C39AFC3,就業人數、性別,經濟部中小及新創企業署
