年度,行業中分類,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,總計,內銷額,百萬元,220750,175715,45036
2013,農、林、漁、牧業,內銷額,百萬元,463,463,0
2013,礦業及土石採取業,內銷額,百萬元,317,317,0
2013,製造業,內銷額,百萬元,17953,15976,1977
2013,電力及燃氣供應業,內銷額,百萬元,181,181,0
2013,用水供應及污染整治業,內銷額,百萬元,1101,961,
2013,營造業,內銷額,百萬元,24910,23766,1145
2013,批發及零售業,內銷額,百萬元,112926,82022,30903
2013,運輸及倉儲業,內銷額,百萬元,3094,2683,
2013,住宿及餐飲業,內銷額,百萬元,18174,17879,
2013,資訊及通訊傳播業,內銷額,百萬元,6695,5669,
2013,金融及保險業,內銷額,百萬元,5927,1878,4049
2013,不動產業,內銷額,百萬元,11746,8967,2779
2013,專業、科學及技術服務業,內銷額,百萬元,7650,6048,
2013,支援服務業,內銷額,百萬元,3380,3380,0
2013,教育服務業,內銷額,百萬元,542,396,
2013,醫療保健及社會工作服務業,內銷額,百萬元,127,127,0
2013,藝術、娛樂及休閒服務業,內銷額,百萬元,2113,1713,
2013,其他服務業,內銷額,百萬元,3453,3289,
2014,總計,內銷額,百萬元,190771,164772,25999
2014,農、林、漁、牧業,內銷額,百萬元,,617,
2014,礦業及土石採取業,內銷額,百萬元,390,390,0
2014,製造業,內銷額,百萬元,18869,17245,1624
2014,電力及燃氣供應業,內銷額,百萬元,111,111,0
2014,用水供應及污染整治業,內銷額,百萬元,1094,1094,0
2014,營造業,內銷額,百萬元,25341,24685,655
2014,批發及零售業,內銷額,百萬元,92557,76141,16416
2014,運輸及倉儲業,內銷額,百萬元,3144,2749,
2014,住宿及餐飲業,內銷額,百萬元,19590,18630,
2014,資訊及通訊傳播業,內銷額,百萬元,3432,2432,
2014,金融及保險業,內銷額,百萬元,,1242,
2014,不動產業,內銷額,百萬元,8147,5805,2342
2014,專業、科學及技術服務業,內銷額,百萬元,6202,5321,
2014,支援服務業,內銷額,百萬元,,3016,
2014,教育服務業,內銷額,百萬元,,612,
2014,醫療保健及社會工作服務業,內銷額,百萬元,50,50,0
2014,藝術、娛樂及休閒服務業,內銷額,百萬元,1645,1645,0
2014,其他服務業,內銷額,百萬元,2987,2987,0
2015,總計,內銷額,百萬元,212681,169577,43104
2015,農、林、漁、牧業,內銷額,百萬元,651,651,0
2015,礦業及土石採取業,內銷額,百萬元,168,168,0
2015,製造業,內銷額,百萬元,19460,18007,1453
2015,電力及燃氣供應業,內銷額,百萬元,11897,98,
2015,用水供應及污染整治業,內銷額,百萬元,1211,955,
2015,營造業,內銷額,百萬元,24419,24103,
2015,批發及零售業,內銷額,百萬元,102064,79599,22465
2015,運輸及倉儲業,內銷額,百萬元,3922,3278,
2015,住宿及餐飲業,內銷額,百萬元,22888,21463,1426
2015,資訊及通訊傳播業,內銷額,百萬元,2910,2244,665
2015,金融及保險業,內銷額,百萬元,943,612,
2015,不動產業,內銷額,百萬元,7348,5039,2310
2015,專業、科學及技術服務業,內銷額,百萬元,4995,4604,
2015,支援服務業,內銷額,百萬元,3198,3093,
2015,教育服務業,內銷額,百萬元,1023,479,
2015,醫療保健及社會工作服務業,內銷額,百萬元,31,31,0
2015,藝術、娛樂及休閒服務業,內銷額,百萬元,1968,1968,0
2015,其他服務業,內銷額,百萬元,3585,3185,
2016,總計,內銷額,百萬元,207876,158469,49407
2016,農、林、漁、牧業,內銷額,百萬元,549,549,0
2016,礦業及土石採取業,內銷額,百萬元,68,68,0
2016,製造業,內銷額,百萬元,13529,12320,1209
2016,電力及燃氣供應業,內銷額,百萬元,406,226,
2016,用水供應及污染整治業,內銷額,百萬元,637,637,0
2016,營建工程業,內銷額,百萬元,21537,20353,1184
2016,批發及零售業,內銷額,百萬元,108902,75082,33821
2016,運輸及倉儲業,內銷額,百萬元,4263,3413,
2016,住宿及餐飲業,內銷額,百萬元,24260,23711,
2016,出版、影音製作、傳播及資通訊服務業,內銷額,百萬元,2563,2563,0
2016,金融及保險業,內銷額,百萬元,9364,1093,8270
2016,不動產業,內銷額,百萬元,6947,4428,2520
2016,專業、科學及技術服務業,內銷額,百萬元,5914,5089,
2016,支援服務業,內銷額,百萬元,3356,3356,0
2016,教育業,內銷額,百萬元,454,454,0
2016,醫療保健及社會工作服務業,內銷額,百萬元,62,62,0
