年度,行業中分類,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,總計,出口額,百萬元,18097,10929,7168
2013,農、林、漁、牧業,出口額,百萬元,36,36,0
2013,礦業及土石採取業,出口額,百萬元,8,8,0
2013,製造業,出口額,百萬元,6890,5348,1541
2013,電力及燃氣供應業,出口額,百萬元,0,0,0
2013,用水供應及污染整治業,出口額,百萬元,1,1,0
2013,營造業,出口額,百萬元,1035,20,1015
2013,批發及零售業,出口額,百萬元,8602,5063,3539
2013,運輸及倉儲業,出口額,百萬元,1062,142,
2013,住宿及餐飲業,出口額,百萬元,37,37,0
2013,資訊及通訊傳播業,出口額,百萬元,142,142,0
2013,金融及保險業,出口額,百萬元,15,15,0
2013,不動產業,出口額,百萬元,1,1,0
2013,專業、科學及技術服務業,出口額,百萬元,252,100,
2013,支援服務業,出口額,百萬元,11,11,0
2013,教育服務業,出口額,百萬元,0,0,0
2013,醫療保健及社會工作服務業,出口額,百萬元,0,0,0
2013,藝術、娛樂及休閒服務業,出口額,百萬元,6,6,0
2013,其他服務業,出口額,百萬元,0,0,0
2014,總計,出口額,百萬元,16037,11362,4676
2014,農、林、漁、牧業,出口額,百萬元,,56,
2014,礦業及土石採取業,出口額,百萬元,24,24,0
2014,製造業,出口額,百萬元,6326,5262,1065
2014,電力及燃氣供應業,出口額,百萬元,9,9,0
2014,用水供應及污染整治業,出口額,百萬元,7,7,0
2014,營造業,出口額,百萬元,22,16,6
2014,批發及零售業,出口額,百萬元,8349,5190,3159
2014,運輸及倉儲業,出口額,百萬元,481,258,
2014,住宿及餐飲業,出口額,百萬元,4,4,0
2014,資訊及通訊傳播業,出口額,百萬元,192,192,0
2014,金融及保險業,出口額,百萬元,,129,
2014,不動產業,出口額,百萬元,9,9,0
2014,專業、科學及技術服務業,出口額,百萬元,394,172,
2014,支援服務業,出口額,百萬元,,9,
2014,教育服務業,出口額,百萬元,,0,
2014,醫療保健及社會工作服務業,出口額,百萬元,0,0,0
2014,藝術、娛樂及休閒服務業,出口額,百萬元,16,16,0
2014,其他服務業,出口額,百萬元,10,10,0
2015,總計,出口額,百萬元,16909,13030,3878
2015,農、林、漁、牧業,出口額,百萬元,14,14,0
2015,礦業及土石採取業,出口額,百萬元,0,0,0
2015,製造業,出口額,百萬元,9012,7426,1586
