年度,行業中分類,統計項目,單位,全部企業(家),中小企業(家),大企業(家)
2013,總計,家數,家,99044,98821,223
2013,農、林、漁、牧業,家數,家,718,718,0
2013,礦業及土石採取業,家數,家,80,79,
2013,製造業,家數,家,5256,5198,58
2013,電力及燃氣供應業,家數,家,104,104,0
2013,用水供應及污染整治業,家數,家,452,451,
2013,營造業,家數,家,8873,8856,17
2013,批發及零售業,家數,家,43717,43609,108
2013,運輸及倉儲業,家數,家,1190,1185,
2013,住宿及餐飲業,家數,家,15497,15495,
2013,資訊及通訊傳播業,家數,家,2103,2098,
2013,金融及保險業,家數,家,916,908,8
2013,不動產業,家數,家,4394,4383,11
2013,專業、科學及技術服務業,家數,家,3963,3959,
2013,支援服務業,家數,家,2423,2423,0
2013,教育服務業,家數,家,265,264,
2013,醫療保健及社會工作服務業,家數,家,203,203,0
2013,藝術、娛樂及休閒服務業,家數,家,3330,3329,
2013,其他服務業,家數,家,5560,5559,
2014,總計,家數,家,94162,93968,194
2014,農、林、漁、牧業,家數,家,745,744,
2014,礦業及土石採取業,家數,家,80,80,0
2014,製造業,家數,家,5478,5410,68
2014,電力及燃氣供應業,家數,家,118,118,0
2014,用水供應及污染整治業,家數,家,447,447,0
2014,營造業,家數,家,9067,9061,6
2014,批發及零售業,家數,家,41053,40967,86
2014,運輸及倉儲業,家數,家,1240,1235,
2014,住宿及餐飲業,家數,家,14964,14960,
2014,資訊及通訊傳播業,家數,家,1884,1880,
2014,金融及保險業,家數,家,1053,1050,
2014,不動產業,家數,家,3956,3948,8
2014,專業、科學及技術服務業,家數,家,4070,4065,
2014,支援服務業,家數,家,2349,2346,
2014,教育服務業,家數,家,297,296,
2014,醫療保健及社會工作服務業,家數,家,91,91,0
2014,藝術、娛樂及休閒服務業,家數,家,2000,2000,0
2014,其他服務業,家數,家,5270,5270,0
2015,總計,家數,家,98507,98320,187
2015,農、林、漁、牧業,家數,家,780,780,0
2015,礦業及土石採取業,家數,家,59,59,0
2015,製造業,家數,家,5337,5285,52
2015,電力及燃氣供應業,家數,家,98,97,
2015,用水供應及污染整治業,家數,家,411,409,
2015,營造業,家數,家,9230,9226,
2015,批發及零售業,家數,家,41747,41657,90
2015,運輸及倉儲業,家數,家,1420,1415,
2015,住宿及餐飲業,家數,家,18266,18258,8
2015,資訊及通訊傳播業,家數,家,1903,1897,6
2015,金融及保險業,家數,家,1012,1009,
2015,不動產業,家數,家,3296,3286,10
2015,專業、科學及技術服務業,家數,家,3988,3986,
2015,支援服務業,家數,家,2461,2460,
2015,教育服務業,家數,家,310,309,
2015,醫療保健及社會工作服務業,家數,家,97,97,0
2015,藝術、娛樂及休閒服務業,家數,家,2401,2401,0
2015,其他服務業,家數,家,5691,5689,
2016,總計,家數,家,95486,95320,166
2016,農、林、漁、牧業,家數,家,844,844,0
2016,礦業及土石採取業,家數,家,51,51,0
2016,製造業,家數,家,4749,4704,45
2016,電力及燃氣供應業,家數,家,183,182,
2016,用水供應及污染整治業,家數,家,418,418,0
2016,營建工程業,家數,家,8917,8908,9
2016,批發及零售業,家數,家,40524,40447,77
2016,運輸及倉儲業,家數,家,1598,1595,
2016,住宿及餐飲業,家數,家,17857,17853,
2016,出版、影音製作、傳播及資通訊服務業,家數,家,2050,2050,0
2016,金融及保險業,家數,家,970,961,9
2016,不動產業,家數,家,2732,2720,12
2016,專業、科學及技術服務業,家數,家,4042,4037,
2016,支援服務業,家數,家,2590,2589,
2016,教育業,家數,家,379,379,0
2016,醫療保健及社會工作服務業,家數,家,74,74,0
2016,藝術、娛樂及休閒服務業,家數,家,2171,2171,0
2016,其他服務業,家數,家,5337,5337,0
2017,總計,家數,家,101710,101556,154
2017,農、林、漁、牧業,家數,家,890,889,
2017,礦業及土石採取業,家數,家,62,62,0
2017,製造業,家數,家,4811,4763,48
2017,電力及燃氣供應業,家數,家,233,233,0
2017,用水供應及污染整治業,家數,家,412,412,0
2017,營建工程業,家數,家,9364,9359,
2017,批發及零售業,家數,家,41980,41907,73
2017,運輸及倉儲業,家數,家,1836,1832,
2017,住宿及餐飲業,家數,家,18698,18692,6
2017,出版、影音製作、傳播及資通訊服務業,家數,家,2313,2310,
2017,金融及保險業,家數,家,986,985,
2017,不動產業,家數,家,2990,2983,7
2017,專業、科學及技術服務業,家數,家,4386,4385,
2017,支援服務業,家數,家,2595,2594,
2017,教育業,家數,家,515,514,
2017,醫療保健及社會工作服務業,家數,家,152,152,0
2017,藝術、娛樂及休閒服務業,家數,家,3761,3759,
2017,其他服務業,家數,家,5726,5725,
2018,總計,家數,家,102353,102189,164
2018,農、林、漁、牧業,家數,家,746,746,0
2018,礦業及土石採取業,家數,家,33,33,0
2018,製造業,家數,家,4975,4930,45
2018,電力及燃氣供應業,家數,家,289,289,0
2018,用水供應及污染整治業,家數,家,460,460,0
2018,營建工程業,家數,家,9041,9036,
2018,批發及零售業,家數,家,39810,39729,81
2018,運輸及倉儲業,家數,家,1802,1799,
2018,住宿及餐飲業,家數,家,18521,18516,
2018,出版、影音製作、傳播及資通訊服務業,家數,家,2366,2359,7
2018,金融及保險業,家數,家,1070,1066,
2018,不動產業,家數,家,3008,3000,8
2018,專業、科學及技術服務業,家數,家,4594,4590,
2018,支援服務業,家數,家,2507,2507,0
2018,教育業,家數,家,760,759,
2018,醫療保健及社會工作服務業,家數,家,111,111,0
2018,藝術、娛樂及休閒服務業,家數,家,6447,6446,
2018,其他服務業,家數,家,5813,5813,0
2019,總計,家數,家,100681,100497,184
2019,農、林、漁、牧業,家數,家,696,696,0
