年度,行業中分類,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,總計,新設企業銷售額,百萬元,238848,186644,52204
2013,農、林、漁、牧業,新設企業銷售額,百萬元,498,498,0
2013,礦業及土石採取業,新設企業銷售額,百萬元,324,324,0
2013,製造業,新設企業銷售額,百萬元,24843,21324,3518
2013,電力及燃氣供應業,銷售額,百萬元,181,181,0
2013,用水供應及污染整治業,銷售額,百萬元,1102,962,
2013,營造業,銷售額,百萬元,25945,23785,2160
2013,批發及零售業,銷售額,百萬元,121528,87085,34442
2013,運輸及倉儲業,銷售額,百萬元,4156,2825,
2013,住宿及餐飲業,銷售額,百萬元,18212,17917,
2013,資訊及通訊傳播業,銷售額,百萬元,6837,5811,
2013,金融及保險業,銷售額,百萬元,5941,1892,4049
2013,不動產業,銷售額,百萬元,11747,8968,2779
2013,專業、科學及技術服務業,銷售額,百萬元,7902,6148,
2013,支援服務業,銷售額,百萬元,3391,3391,0
2013,教育服務業,銷售額,百萬元,542,396,
2013,醫療保健及社會工作服務業,銷售額,百萬元,127,127,0
2013,藝術、娛樂及休閒服務業,銷售額,百萬元,2119,1719,
2013,其他服務業,銷售額,百萬元,3453,3289,
2014,總計,銷售額,百萬元,206808,176134,30674
2014,農、林、漁、牧業,銷售額,百萬元,,673,
2014,礦業及土石採取業,銷售額,百萬元,414,414,0
2014,製造業,銷售額,百萬元,25195,22506,2689
2014,電力及燃氣供應業,銷售額,百萬元,120,120,0
2014,用水供應及污染整治業,銷售額,百萬元,1101,1101,0
2014,營造業,銷售額,百萬元,25362,24701,661
2014,批發及零售業,銷售額,百萬元,100906,81331,19575
2014,運輸及倉儲業,銷售額,百萬元,3625,3007,
2014,住宿及餐飲業,銷售額,百萬元,19593,18633,
2014,資訊及通訊傳播業,銷售額,百萬元,3624,2624,
2014,金融及保險業,銷售額,百萬元,,1371,
2014,不動產業,銷售額,百萬元,8157,5814,2342
2014,專業、科學及技術服務業,銷售額,百萬元,6596,5493,
2014,支援服務業,銷售額,百萬元,,3025,
2014,教育服務業,銷售額,百萬元,,613,
2014,醫療保健及社會工作服務業,銷售額,百萬元,50,50,0
2014,藝術、娛樂及休閒服務業,銷售額,百萬元,1660,1660,0
2014,其他服務業,銷售額,百萬元,2997,2997,0
2015,總計,銷售額,百萬元,229590,182608,46982
2015,農、林、漁、牧業,銷售額,百萬元,665,665,0
2015,礦業及土石採取業,銷售額,百萬元,168,168,0
2015,製造業,銷售額,百萬元,28472,25433,3039
2015,電力及燃氣供應業,銷售額,百萬元,11897,98,
2015,用水供應及污染整治業,銷售額,百萬元,1222,966,
2015,營造業,銷售額,百萬元,24461,24146,
2015,批發及零售業,銷售額,百萬元,109004,84464,24540
2015,運輸及倉儲業,銷售額,百萬元,4186,3435,
2015,住宿及餐飲業,銷售額,百萬元,22890,21464,1426
2015,資訊及通訊傳播業,銷售額,百萬元,3280,2505,775
2015,金融及保險業,銷售額,百萬元,970,639,
2015,不動產業,銷售額,百萬元,7370,5060,2310
2015,專業、科學及技術服務業,銷售額,百萬元,5193,4802,
2015,支援服務業,銷售額,百萬元,3202,3097,
2015,教育服務業,銷售額,百萬元,1023,479,
2015,醫療保健及社會工作服務業,銷售額,百萬元,31,31,0
2015,藝術、娛樂及休閒服務業,銷售額,百萬元,1970,1970,0
2015,其他服務業,銷售額,百萬元,3586,3185,
2016,總計,銷售額,百萬元,233403,164545,68858
2016,農、林、漁、牧業,銷售額,百萬元,574,574,0
2016,礦業及土石採取業,銷售額,百萬元,68,68,0
2016,製造業,銷售額,百萬元,15990,13601,2389
2016,電力及燃氣供應業,銷售額,百萬元,438,251,
2016,用水供應及污染整治業,銷售額,百萬元,647,647,0
2016,營建工程業,銷售額,百萬元,21569,20385,1184
2016,批發及零售業,銷售額,百萬元,130502,78851,51651
2016,運輸及倉儲業,銷售額,百萬元,4345,3495,
2016,住宿及餐飲業,銷售額,百萬元,24262,23713,
2016,出版、影音製作、傳播及資通訊服務業,銷售額,百萬元,3008,3008,0
2016,金融及保險業,銷售額,百萬元,9372,1102,8270
2016,不動產業,銷售額,百萬元,6951,4431,2520
2016,專業、科學及技術服務業,銷售額,百萬元,6258,5424,
2016,支援服務業,銷售額,百萬元,3813,3387,
2016,教育業,銷售額,百萬元,455,455,0
2016,醫療保健及社會工作服務業,銷售額,百萬元,62,62,0
2016,藝術、娛樂及休閒服務業,銷售額,百萬元,2104,2104,0
2016,其他服務業,銷售額,百萬元,2986,2986,0
2017,總計,銷售額,百萬元,206821,168857,37965
2017,農、林、漁、牧業,銷售額,百萬元,832,643,
2017,礦業及土石採取業,銷售額,百萬元,197,197,0
2017,製造業,銷售額,百萬元,16439,14659,1780
2017,電力及燃氣供應業,銷售額,百萬元,191,191,0
2017,用水供應及污染整治業,銷售額,百萬元,678,678,0
2017,營建工程業,銷售額,百萬元,20910,20806,
2017,批發及零售業,銷售額,百萬元,106673,78829,27844
2017,運輸及倉儲業,銷售額,百萬元,7227,4970,
2017,住宿及餐飲業,銷售額,百萬元,24159,23287,872
2017,出版、影音製作、傳播及資通訊服務業,銷售額,百萬元,3541,2992,
2017,金融及保險業,銷售額,百萬元,2110,1408,
2017,不動產業,銷售額,百萬元,5783,4404,1378
2017,專業、科學及技術服務業,銷售額,百萬元,5637,5313,
2017,支援服務業,銷售額,百萬元,3666,3054,
2017,教育業,銷售額,百萬元,754,633,
2017,醫療保健及社會工作服務業,銷售額,百萬元,755,755,0
