年度,產業別,統計項目,單位,全部企業(家),中小企業(家),大企業(家)
2013,農業,家數,家,12088,12027,61
2013,工業,家數,家,262790,255397,7393
2013,服務業,家數,家,1088515,1063758,24757
2014,農業,家數,家,11638,11568,70
2014,工業,家數,家,270141,262833,7308
2014,服務業,家數,家,1104349,1078648,25701
2015,農業,家數,家,11649,11580,69
2015,工業,家數,家,276504,269143,7361
2015,服務業,家數,家,1128585,1103258,25327
2016,農業,家數,家,11446,11380,66
2016,工業,家數,家,280667,273204,7463
2016,服務業,家數,家,1148845,1123729,25116
2017,農業,家數,家,11972,11899,73
2017,工業,家數,家,285359,277728,7631
2017,服務業,家數,家,1174102,1147989,26113
2018,農業,家數,家,11366,11288,78
2018,工業,家數,家,290038,282268,7770
2018,服務業,家數,家,1200238,1172653,27585
2019,農業,家數,家,11409,11328,81
2019,工業,家數,家,294728,286833,7895
2019,服務業,家數,家,1221135,1193259,27876
2020,農業,家數,家,11864,11779,85
2020,工業,家數,家,300672,294346,6326
2020,服務業,家數,家,1253101,1242710,10391
2021,農業,家數,家,11316,11231,85
2021,工業,家數,家,308478,301953,6525
2021,服務業,家數,家,1293487,1282644,10843
2022,農業,家數,家,11018,10930,88
2022,工業,家數,家,318666,311836,6830
2022,服務業,家數,家,1322354,1311022,11332
2023,初級產業,家數,家,12427,12315,112
2023,工業,家數,家,325683,318651,7032
2023,服務業,家數,家,1354904,1343095,11809
2024,初級產業,家數,家,12702,12581,121
2024,工業,家數,家,334562,327322,7240
2024,服務業,家數,家,1387956,1375625,12331
