年度,產業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,農業,內銷額,百萬元,34984,19202,15782
2013,工業,內銷額,百萬元,10888540,4525234,6363306
2013,服務業,內銷額,百萬元,17701003,5353181,12347822
2014,農業,內銷額,百萬元,40699,20198,20500
2014,工業,內銷額,百萬元,11403598,4782032,6621566
2014,服務業,內銷額,百萬元,18574819,5542865,13031954
2015,農業,內銷額,百萬元,39479,20422,19057
2015,工業,內銷額,百萬元,10606446,4659379,5947067
2015,服務業,內銷額,百萬元,18512928,5645459,12867469
2016,農業,內銷額,百萬元,39310,21152,18158
2016,工業,內銷額,百萬元,10257755,4587702,5670053
2016,服務業,內銷額,百萬元,18551443,5732033,12819410
2017,農業,內銷額,百萬元,46367,23704,22662
2017,工業,內銷額,百萬元,10843201,4794073,6049128
2017,服務業,內銷額,百萬元,19283413,5899361,13384053
2018,農業,內銷額,百萬元,45962,25849,20113
2018,工業,內銷額,百萬元,11489688,5065880,6423808
2018,服務業,內銷額,百萬元,20508192,6079837,14428354
2019,農業,內銷額,百萬元,49857,26387,23471
2019,工業,內銷額,百萬元,11378810,5032382,6346428
2019,服務業,內銷額,百萬元,21014905,6240479,14774426
2020,農業,內銷額,百萬元,49738,40005,9733
2020,工業,內銷額,百萬元,11629377,6189543,5439833
2020,服務業,內銷額,百萬元,21697214,14631791,7065423
2021,農業,內銷額,百萬元,56015,43599,12416
2021,工業,內銷額,百萬元,13887993,7266036,6621957
2021,服務業,內銷額,百萬元,23805218,15948829,7856388
2022,農業,內銷額,百萬元,69337,46057,23280
2022,工業,內銷額,百萬元,14859140,7736302,7122838
2022,服務業,內銷額,百萬元,25839618,17202404,8637214
2023,初級產業,內銷額,百萬元,160991,119873,41119
2023,工業,內銷額,百萬元,14756792,7826100,6930692
2023,服務業,內銷額,百萬元,26859640,17795350,9064290
2024,初級產業,內銷額,百萬元,304185,257660,46526
2024,工業,內銷額,百萬元,15827385,8539132,7288253
2024,服務業,內銷額,百萬元,29198298,19085002,10113296
