年度,產業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,農業,出口額,百萬元,5278,2679,2599
2013,工業,出口額,百萬元,6695102,985671,5709431
2013,服務業,出口額,百萬元,3135986,435874,2700112
2014,農業,出口額,百萬元,6435,3309,3126
2014,工業,出口額,百萬元,7065216,1051750,6013466
2014,服務業,出口額,百萬元,3149739,439714,2710025
2015,農業,出口額,百萬元,7094,3450,3644
2015,工業,出口額,百萬元,6694197,1033626,5660571
2015,服務業,出口額,百萬元,3015196,440780,2574417
2016,農業,出口額,百萬元,7516,3269,4247
2016,工業,出口額,百萬元,6510261,991755,5518506
2016,服務業,出口額,百萬元,2946485,428768,2517717
2017,農業,出口額,百萬元,7301,3785,3517
2017,工業,出口額,百萬元,6891708,995030,5896678
2017,服務業,出口額,百萬元,3097110,423560,2673549
2018,農業,出口額,百萬元,6611,2975,3636
2018,工業,出口額,百萬元,7346975,1022037,6324938
2018,服務業,出口額,百萬元,3266112,427894,2838218
2019,農業,出口額,百萬元,7292,3507,3785
2019,工業,出口額,百萬元,7250056,986865,6263191
2019,服務業,出口額,百萬元,3278168,423342,2854825
2020,農業,出口額,百萬元,6469,5212,1257
2020,工業,出口額,百萬元,7215709,1112694,6103015
2020,服務業,出口額,百萬元,3030802,1576268,1454534
2021,農業,出口額,百萬元,8391,6828,1562
2021,工業,出口額,百萬元,8821133,1280760,7540373
2021,服務業,出口額,百萬元,4115004,2073447,2041557
2022,農業,出口額,百萬元,6909,5296,1613
2022,工業,出口額,百萬元,10335597,1380368,8955229
2022,服務業,出口額,百萬元,4319204,2221580,2097623
2023,初級產業,出口額,百萬元,9715,7976,1739
2023,工業,出口額,百萬元,9182395,1157948,8024447
2023,服務業,出口額,百萬元,3641877,1853099,1788778
2024,初級產業,出口額,百萬元,12420,10505,1915
2024,工業,出口額,百萬元,10261938,1201745,9060193
2024,服務業,出口額,百萬元,4168364,1981126,2187237
