年度,產業別,統計項目,單位,全部企業(千人),中小企業(千人),大企業(千人)
2013,農業,受僱人數,千人,88,81,1
2013,工業,受僱人數,千人,3572,2689,782
2013,服務業,受僱人數,千人,4955,3467,574
2014,農業,受僱人數,千人,90,82,1
2014,工業,受僱人數,千人,3620,2723,798
2014,服務業,受僱人數,千人,5027,3524,585
2015,農業,受僱人數,千人,92,86,1
2015,工業,受僱人數,千人,3651,2729,823
2015,服務業,受僱人數,千人,5117,3608,588
2016,農業,受僱人數,千人,90,84,2
2016,工業,受僱人數,千人,3651,2727,829
2016,服務業,受僱人數,千人,5186,3660,599
2017,農業,受僱人數,千人,92,87,1
2017,工業,受僱人數,千人,3666,2750,824
2017,服務業,受僱人數,千人,5248,3723,598
2018,農業,受僱人數,千人,92,87,1
2018,工業,受僱人數,千人,3690,2750,844
2018,服務業,受僱人數,千人,5301,3778,602
2019,農業,受僱人數,千人,94,89,1
2019,工業,受僱人數,千人,3708,2766,845
2019,服務業,受僱人數,千人,5345,3847,581
2020,農業,受僱人數,千人,95,91,0
2020,工業,受僱人數,千人,3711,2774,843
2020,服務業,受僱人數,千人,5372,4122,324
2021,農業,受僱人數,千人,93,89,0
2021,工業,受僱人數,千人,3702,2712,898
2021,服務業,受僱人數,千人,5374,4121,323
2022,農業,受僱人數,千人,96,92,0
2022,工業,受僱人數,千人,3700,2670,935
2022,服務業,受僱人數,千人,5392,4140,326
2023,初級產業,受僱人數,千人,100,95,0
2023,工業,受僱人數,千人,3692,2620,974
2023,服務業,受僱人數,千人,5514,4233,357
2024,初級產業,受僱人數,千人,95,89,1
2024,工業,受僱人數,千人,3702,2602,1002
2024,服務業,受僱人數,千人,5600,4304,367
