年度,產業別,統計項目,單位,全部企業(千人),中小企業(千人),大企業(千人)
2013,農業,就業人數,千人,544,537,1
2013,工業,就業人數,千人,3965,3082,783
2013,服務業,就業人數,千人,6458,4968,575
2014,農業,就業人數,千人,548,540,1
2014,工業,就業人數,千人,4004,3106,800
2014,服務業,就業人數,千人,6526,5023,586
2015,農業,就業人數,千人,555,549,1
2015,工業,就業人數,千人,4035,3111,825
2015,服務業,就業人數,千人,6609,5098,589
2016,農業,就業人數,千人,557,552,2
2016,工業,就業人數,千人,4043,3119,830
2016,服務業,就業人數,千人,6667,5139,601
2017,農業,就業人數,千人,557,551,1
2017,工業,就業人數,千人,4063,3147,824
2017,服務業,就業人數,千人,6732,5206,600
2018,農業,就業人數,千人,561,556,1
2018,工業,就業人數,千人,4083,3143,845
2018,服務業,就業人數,千人,6790,5266,604
2019,農業,就業人數,千人,559,554,1
2019,工業,就業人數,千人,4092,3149,846
2019,服務業,就業人數,千人,6849,5350,582
2020,農業,就業人數,千人,548,544,0
2020,工業,就業人數,千人,4076,3139,843
2020,服務業,就業人數,千人,6879,5629,325
2021,農業,就業人數,千人,542,538,0
2021,工業,就業人數,千人,4059,3068,898
2021,服務業,就業人數,千人,6847,5594,324
2022,農業,就業人數,千人,530,526,0
2022,工業,就業人數,千人,4042,3010,937
2022,服務業,就業人數,千人,6846,5596,326
2023,初級產業,就業人數,千人,512,507,0
2023,工業,就業人數,千人,4041,2967,975
2023,服務業,就業人數,千人,6974,5693,357
2024,初級產業,就業人數,千人,498,492,1
2024,工業,就業人數,千人,4047,2947,1002
2024,服務業,就業人數,千人,7051,5755,367
