年度,產業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,農業,銷售額,百萬元,40262,21881,18381
2013,工業,銷售額,百萬元,17583642,5510905,12072737
2013,服務業,銷售額,百萬元,20836989,5789055,15047934
2014,農業,銷售額,百萬元,47134,23508,23627
2014,工業,銷售額,百萬元,18468814,5833782,12635032
2014,服務業,銷售額,百萬元,21724558,5982579,15741979
2015,農業,銷售額,百萬元,46573,23872,22702
2015,工業,銷售額,百萬元,17300643,5693005,11607638
2015,服務業,銷售額,百萬元,21528125,6086239,15441886
2016,農業,銷售額,百萬元,46826,24420,22406
2016,工業,銷售額,百萬元,16768016,5579457,11188559
2016,服務業,銷售額,百萬元,21497927,6160800,15337127
2017,農業,銷售額,百萬元,53668,27489,26179
2017,工業,銷售額,百萬元,17734908,5789103,11945805
2017,服務業,銷售額,百萬元,22380523,6322921,16057602
2018,農業,銷售額,百萬元,52573,28824,23749
2018,工業,銷售額,百萬元,18836663,6087917,12748746
2018,服務業,銷售額,百萬元,23774303,6507731,17266572
2019,農業,銷售額,百萬元,57150,29894,27256
2019,工業,銷售額,百萬元,18628866,6019248,12609618
2019,服務業,銷售額,百萬元,24293073,6663822,17629251
2020,農業,銷售額,百萬元,56207,45217,10990
2020,工業,銷售額,百萬元,18845085,7302237,11542848
2020,服務業,銷售額,百萬元,24728016,16208059,8519957
2021,農業,銷售額,百萬元,64406,50428,13978
2021,工業,銷售額,百萬元,22709126,8546795,14162331
2021,服務業,銷售額,百萬元,27920221,18022276,9897946
2022,農業,銷售額,百萬元,76247,51353,24894
2022,工業,銷售額,百萬元,25194736,9116670,16078066
2022,服務業,銷售額,百萬元,30158822,19423984,10734838
2023,初級產業,銷售額,百萬元,170706,127849,42857
2023,工業,銷售額,百萬元,23939187,8984048,14955140
2023,服務業,銷售額,百萬元,30501517,19648449,10853068
2024,初級產業,銷售額,百萬元,316605,268165,48441
2024,工業,銷售額,百萬元,26089323,9740877,16348446
2024,服務業,銷售額,百萬元,33366661,21066128,12300533
