年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,總計,內銷額,百萬元,7725245,3100360,4624886
2013,食品製造業,內銷額,百萬元,436864,171605,265259
2013,飲料製造業,內銷額,百萬元,75691,38696,36995
2013,菸草製造業,內銷額,百萬元,23034,,
2013,紡織業,內銷額,百萬元,269319,97110,172208
2013,成衣及服飾品製造業,內銷額,百萬元,57775,36466,21309
2013,皮革、毛皮及其製品製造業,內銷額,百萬元,38732,21289,17443
2013,木竹製品製造業,內銷額,百萬元,39704,30143,9561
2013,紙漿、紙及紙製品製造業,內銷額,百萬元,167887,108861,59026
2013,印刷及資料儲存媒體複製業,內銷額,百萬元,101135,71799,29336
2013,石油及煤製品製造業,內銷額,百萬元,775483,69002,706481
2013,化學材料製造業,內銷額,百萬元,638445,398352,240093
2013,化學製品製造業,內銷額,百萬元,222689,60078,162611
2013,藥品製造業,內銷額,百萬元,78553,7271,71281
2013,橡膠製品製造業,內銷額,百萬元,59257,28349,30908
2013,塑膠製品製造業,內銷額,百萬元,300960,212128,88832
2013,非金屬礦物製品製造業,內銷額,百萬元,262611,145507,117104
2013,基本金屬製造業,內銷額,百萬元,990486,203421,787065
2013,金屬製品製造業,內銷額,百萬元,742193,546241,195953
2013,電子零組件製造業,內銷額,百萬元,655095,135621,519474
2013,電腦、電子產品及光學製品製造業,內銷額,百萬元,264701,61124,203577
2013,電力設備製造業,內銷額,百萬元,336108,154815,181293
2013,機械設備製造業,內銷額,百萬元,426527,254669,171858
2013,汽車及其零件製造業,內銷額,百萬元,425136,57422,367713
2013,其他運輸工具製造業,內銷額,百萬元,140500,45845,94656
2013,家具製造業,內銷額,百萬元,37995,28312,9683
2013,其他製造業,內銷額,百萬元,86504,52707,33797
2013,產業用機械設備維修及安裝業,內銷額,百萬元,71861,53391,18469
2014,總計,內銷額,百萬元,8051699,3285618,4766081
2014,食品製造業,內銷額,百萬元,469859,182040,287819
2014,飲料製造業,內銷額,百萬元,63843,39271,24571
2014,菸草製造業,內銷額,百萬元,,,
2014,紡織業,內銷額,百萬元,271595,104810,166785
2014,成衣及服飾品製造業,內銷額,百萬元,57513,36362,21151
2014,皮革、毛皮及其製品製造業,內銷額,百萬元,40959,22480,18479
2014,木竹製品製造業,內銷額,百萬元,42736,33865,8871
2014,紙漿、紙及紙製品製造業,內銷額,百萬元,173270,112619,60651
2014,印刷及資料儲存媒體複製業,內銷額,百萬元,106280,76396,29884
2014,石油及煤製品製造業,內銷額,百萬元,747873,67150,680723
2014,化學材料製造業,內銷額,百萬元,675542,396662,278880
2014,化學製品製造業,內銷額,百萬元,221745,64034,157711
2014,藥品製造業,內銷額,百萬元,80914,8432,72481
2014,橡膠製品製造業,內銷額,百萬元,65186,29929,35257
