年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,總計,出口額,百萬元,6643414,973892,5669522
2013,食品製造業,出口額,百萬元,27823,8475,19348
2013,飲料製造業,出口額,百萬元,2379,847,1532
2013,菸草製造業,出口額,百萬元,2546,0,
2013,紡織業,出口額,百萬元,187916,23093,164823
2013,成衣及服飾品製造業,出口額,百萬元,26551,16828,9722
2013,皮革、毛皮及其製品製造業,出口額,百萬元,47494,13805,33689
2013,木竹製品製造業,出口額,百萬元,5337,3114,2224
2013,紙漿、紙及紙製品製造業,出口額,百萬元,35980,11693,24287
2013,印刷及資料儲存媒體複製業,出口額,百萬元,52854,4943,47911
2013,石油及煤製品製造業,出口額,百萬元,589431,114,589317
2013,化學材料製造業,出口額,百萬元,552071,22666,529406
2013,化學製品製造業,出口額,百萬元,78017,12117,65900
2013,藥品製造業,出口額,百萬元,15779,341,15438
2013,橡膠製品製造業,出口額,百萬元,53939,10974,42965
2013,塑膠製品製造業,出口額,百萬元,134258,51925,82333
2013,非金屬礦物製品製造業,出口額,百萬元,110392,31966,78426
2013,基本金屬製造業,出口額,百萬元,377416,43453,333964
2013,金屬製品製造業,出口額,百萬元,314408,111827,202581
2013,電子零組件製造業,出口額,百萬元,2629704,287526,2342178
2013,電腦、電子產品及光學製品製造業,出口額,百萬元,509106,36597,472509
2013,電力設備製造業,出口額,百萬元,179412,49753,129659
2013,機械設備製造業,出口額,百萬元,321924,125846,196078
2013,汽車及其零件製造業,出口額,百萬元,119075,17773,101303
2013,其他運輸工具製造業,出口額,百萬元,143897,34193,109704
2013,家具製造業,出口額,百萬元,22900,14868,8033
2013,其他製造業,出口額,百萬元,91557,32813,58744
2013,產業用機械設備維修及安裝業,出口額,百萬元,11247,6343,4903
2014,總計,出口額,百萬元,7002855,1038190,5964665
2014,食品製造業,出口額,百萬元,30019,9728,20291
2014,飲料製造業,出口額,百萬元,2823,763,2061
2014,菸草製造業,出口額,百萬元,,0,
2014,紡織業,出口額,百萬元,185667,23468,162198
2014,成衣及服飾品製造業,出口額,百萬元,26095,16825,9270
2014,皮革、毛皮及其製品製造業,出口額,百萬元,48808,13597,35210
2014,木竹製品製造業,出口額,百萬元,5195,3421,1773
2014,紙漿、紙及紙製品製造業,出口額,百萬元,33492,11900,21592
2014,印刷及資料儲存媒體複製業,出口額,百萬元,55213,4614,50599
2014,石油及煤製品製造業,出口額,百萬元,580093,143,579949
2014,化學材料製造業,出口額,百萬元,584414,23272,561142
2014,化學製品製造業,出口額,百萬元,84776,14576,70200
2014,藥品製造業,出口額,百萬元,16131,708,15424
2014,橡膠製品製造業,出口額,百萬元,56233,12250,43983
2014,塑膠製品製造業,出口額,百萬元,143964,54583,89381
2014,非金屬礦物製品製造業,出口額,百萬元,93284,25344,67940
2014,基本金屬製造業,出口額,百萬元,408532,48500,360032
2014,金屬製品製造業,出口額,百萬元,349990,122381,227609
2014,電子零組件製造業,出口額,百萬元,2786602,295299,2491303
2014,電腦、電子產品及光學製品製造業,出口額,百萬元,514719,47687,467031
2014,電力設備製造業,出口額,百萬元,199080,51538,147542
2014,機械設備製造業,出口額,百萬元,348078,136860,211218
2014,汽車及其零件製造業,出口額,百萬元,131735,17795,113940
2014,其他運輸工具製造業,出口額,百萬元,159058,42358,116699
2014,家具製造業,出口額,百萬元,26625,16951,9675
2014,其他製造業,出口額,百萬元,94653,34061,60592
2014,產業用機械設備維修及安裝業,出口額,百萬元,34487,9566,24922
2015,總計,出口額,百萬元,6623005,1019705,5603301
2015,食品製造業,出口額,百萬元,30858,9860,20998
2015,飲料製造業,出口額,百萬元,2999,656,2343
2015,菸草製造業,出口額,百萬元,3289,0,
2015,紡織業,出口額,百萬元,172550,22551,149998
2015,成衣及服飾品製造業,出口額,百萬元,25812,12336,13476
2015,皮革、毛皮及其製品製造業,出口額,百萬元,47109,12307,34802
2015,木竹製品製造業,出口額,百萬元,4626,3206,1419
2015,紙漿、紙及紙製品製造業,出口額,百萬元,28928,11237,17691
2015,印刷及資料儲存媒體複製業,出口額,百萬元,55005,4025,50980
2015,石油及煤製品製造業,出口額,百萬元,344687,98,344590
2015,化學材料製造業,出口額,百萬元,507551,22156,485395
2015,化學製品製造業,出口額,百萬元,82107,15150,66957
2015,藥品製造業,出口額,百萬元,17480,710,16770
2015,橡膠製品製造業,出口額,百萬元,55566,11315,44251
2015,塑膠製品製造業,出口額,百萬元,142144,51231,90913
2015,非金屬礦物製品製造業,出口額,百萬元,79462,19614,59848
2015,基本金屬製造業,出口額,百萬元,351714,42020,309694
2015,金屬製品製造業,出口額,百萬元,340691,122349,218342
2015,電子零組件製造業,出口額,百萬元,2833133,290748,2542385
2015,電腦、電子產品及光學製品製造業,出口額,百萬元,492259,60158,432101
2015,電力設備製造業,出口額,百萬元,196590,48772,147818
2015,機械設備製造業,出口額,百萬元,326919,132244,194674
2015,汽車及其零件製造業,出口額,百萬元,129633,17870,111763
2015,其他運輸工具製造業,出口額,百萬元,194716,49154,145562
2015,家具製造業,出口額,百萬元,26750,17455,9295
2015,其他製造業,出口額,百萬元,91453,32900,58553
2015,產業用機械設備維修及安裝業,出口額,百萬元,38974,9581,29393
2016,總計,出口額,百萬元,6422303,977112,5445191
2016,食品及飼品製造業,出口額,百萬元,32745,9713,23032
2016,飲料製造業,出口額,百萬元,2454,602,1852
2016,菸草製造業,出口額,百萬元,3686,0,
2016,紡織業,出口額,百萬元,170803,23073,147730
2016,成衣及服飾品製造業,出口額,百萬元,25289,11693,13596
2016,皮革、毛皮及其製品製造業,出口額,百萬元,41879,10773,31105
2016,木竹製品製造業,出口額,百萬元,3919,2442,1477
2016,紙漿、紙及紙製品製造業,出口額,百萬元,30575,12178,18397
2016,印刷及資料儲存媒體複製業,出口額,百萬元,54174,3999,50174
2016,石油及煤製品製造業,出口額,百萬元,277543,126,277417
2016,化學原材料、肥料、氮化合物、塑橡膠原料及人造纖維製造業,出口額,百萬元,470186,23163,447023
