年度,行業別,統計項目,單位,全部企業(家),中小企業(家),大企業(家)
2013,總計,家數,家,144760,139099,5661
2013,食品製造業,家數,家,9729,9488,241
2013,飲料製造業,家數,家,655,628,27
2013,菸草製造業,家數,家,8,,
2013,紡織業,家數,家,5174,4915,259
2013,成衣及服飾品製造業,家數,家,4285,4238,47
2013,皮革、毛皮及其製品製造業,家數,家,1649,1608,41
2013,木竹製品製造業,家數,家,2841,2803,38
2013,紙漿、紙及紙製品製造業,家數,家,3053,2953,100
2013,印刷及資料儲存媒體複製業,家數,家,8319,8255,64
2013,石油及煤製品製造業,家數,家,184,167,17
2013,化學材料製造業,家數,家,1507,1279,228
2013,化學製品製造業,家數,家,2332,2176,156
2013,藥品製造業,家數,家,375,255,120
2013,橡膠製品製造業,家數,家,1524,1453,71
2013,塑膠製品製造業,家數,家,10319,10060,259
2013,非金屬礦物製品製造業,家數,家,3231,3051,180
2013,基本金屬製造業,家數,家,6589,6256,333
2013,金屬製品製造業,家數,家,37460,36905,555
2013,電子零組件製造業,家數,家,5985,4947,1038
2013,電腦、電子產品及光學製品製造業,家數,家,3198,2657,541
2013,電力設備製造業,家數,家,5189,4840,349
2013,機械設備製造業,家數,家,15892,15423,469
2013,汽車及其零件製造業,家數,家,2353,2199,154
2013,其他運輸工具製造業,家數,家,2178,2037,141
2013,家具製造業,家數,家,2157,2133,24
2013,其他製造業,家數,家,4506,4330,176
2013,產業用機械設備維修及安裝業,家數,家,4068,4038,30
2014,總計,家數,家,147404,141817,5587
2014,食品製造業,家數,家,9936,9689,247
2014,飲料製造業,家數,家,656,630,26
2014,菸草製造業,家數,家,8,,
2014,紡織業,家數,家,5227,4981,246
2014,成衣及服飾品製造業,家數,家,4195,4149,46
2014,皮革、毛皮及其製品製造業,家數,家,1682,1643,39
2014,木竹製品製造業,家數,家,2841,2808,33
2014,紙漿、紙及紙製品製造業,家數,家,3060,2962,98
2014,印刷及資料儲存媒體複製業,家數,家,8471,8404,67
2014,石油及煤製品製造業,家數,家,179,165,14
2014,化學材料製造業,家數,家,1525,1303,222
2014,化學製品製造業,家數,家,2437,2273,164
2014,藥品製造業,家數,家,373,246,127
2014,橡膠製品製造業,家數,家,1572,1501,71
2014,塑膠製品製造業,家數,家,10434,10182,252
2014,非金屬礦物製品製造業,家數,家,3272,3091,181
2014,基本金屬製造業,家數,家,6861,6544,317
2014,金屬製品製造業,家數,家,38588,38045,543
2014,電子零組件製造業,家數,家,6068,5041,1027
2014,電腦、電子產品及光學製品製造業,家數,家,3172,2647,525
2014,電力設備製造業,家數,家,5231,4886,345
2014,機械設備製造業,家數,家,16032,15556,476
2014,汽車及其零件製造業,家數,家,2302,2151,151
2014,其他運輸工具製造業,家數,家,2168,2032,136
2014,家具製造業,家數,家,2203,2176,27
2014,其他製造業,家數,家,4526,4350,176
2014,產業用機械設備維修及安裝業,家數,家,4385,4357,28
2015,總計,家數,家,148800,143118,5682
2015,食品製造業,家數,家,9889,9640,249
2015,飲料製造業,家數,家,629,600,29
2015,菸草製造業,家數,家,8,,
2015,紡織業,家數,家,5254,5000,254
2015,成衣及服飾品製造業,家數,家,4148,4102,46
2015,皮革、毛皮及其製品製造業,家數,家,1653,1618,35
2015,木竹製品製造業,家數,家,2892,2860,32
2015,紙漿、紙及紙製品製造業,家數,家,3078,2981,97
2015,印刷及資料儲存媒體複製業,家數,家,8534,8466,68
2015,石油及煤製品製造業,家數,家,180,168,12
2015,化學材料製造業,家數,家,1565,1330,235
2015,化學製品製造業,家數,家,2588,2420,168
2015,藥品製造業,家數,家,380,250,130
2015,橡膠製品製造業,家數,家,1582,1512,70
2015,塑膠製品製造業,家數,家,10478,10206,272
2015,非金屬礦物製品製造業,家數,家,3245,3069,176
2015,基本金屬製造業,家數,家,6801,6483,318
2015,金屬製品製造業,家數,家,39191,38624,567
2015,電子零組件製造業,家數,家,6125,5099,1026
2015,電腦、電子產品及光學製品製造業,家數,家,3185,2673,512
2015,電力設備製造業,家數,家,5268,4916,352
2015,機械設備製造業,家數,家,16155,15668,487
2015,汽車及其零件製造業,家數,家,2300,2140,160
2015,其他運輸工具製造業,家數,家,2186,2048,138
2015,家具製造業,家數,家,2245,2215,30
2015,其他製造業,家數,家,4488,4307,181
