年度,行業別,統計項目,單位,全部企業(百萬元),中小企業(百萬元),大企業(百萬元)
2013,總計,銷售額,百萬元,14368660,4074252,10294408
2013,食品製造業,銷售額,百萬元,464688,180080,284607
2013,飲料製造業,銷售額,百萬元,78070,39543,38527
2013,菸草製造業,銷售額,百萬元,25579,,
2013,紡織業,銷售額,百萬元,457235,120204,337031
2013,成衣及服飾品製造業,銷售額,百萬元,84326,53294,31031
2013,皮革、毛皮及其製品製造業,銷售額,百萬元,86226,35094,51132
2013,木竹製品製造業,銷售額,百萬元,45041,33256,11785
2013,紙漿、紙及紙製品製造業,銷售額,百萬元,203867,120555,83313
2013,印刷及資料儲存媒體複製業,銷售額,百萬元,153989,76742,77247
2013,石油及煤製品製造業,銷售額,百萬元,1364915,69116,1295799
2013,化學材料製造業,銷售額,百萬元,1190516,421018,769498
2013,化學製品製造業,銷售額,百萬元,300706,72194,228511
2013,藥品製造業,銷售額,百萬元,94332,7613,86719
2013,橡膠製品製造業,銷售額,百萬元,113196,39323,73873
2013,塑膠製品製造業,銷售額,百萬元,435218,264054,171164
2013,非金屬礦物製品製造業,銷售額,百萬元,373003,177473,195530
2013,基本金屬製造業,銷售額,百萬元,1367902,246874,1121029
2013,金屬製品製造業,銷售額,百萬元,1056601,658067,398534
2013,電子零組件製造業,銷售額,百萬元,3284799,423147,2861652
2013,電腦、電子產品及光學製品製造業,銷售額,百萬元,773807,97721,676086
2013,電力設備製造業,銷售額,百萬元,515519,204568,310952
2013,機械設備製造業,銷售額,百萬元,748451,380515,367936
2013,汽車及其零件製造業,銷售額,百萬元,544211,75195,469016
2013,其他運輸工具製造業,銷售額,百萬元,284397,80038,204360
2013,家具製造業,銷售額,百萬元,60895,43180,17716
2013,其他製造業,銷售額,百萬元,178061,85520,92541
2013,產業用機械設備維修及安裝業,銷售額,百萬元,83107,59734,23373
2014,總計,銷售額,百萬元,15054553,4323807,10730746
2014,食品製造業,銷售額,百萬元,499878,191768,308110
2014,飲料製造業,銷售額,百萬元,66666,40034,26632
2014,菸草製造業,銷售額,百萬元,,,
2014,紡織業,銷售額,百萬元,457261,128278,328983
2014,成衣及服飾品製造業,銷售額,百萬元,83609,53187,30422
2014,皮革、毛皮及其製品製造業,銷售額,百萬元,89767,36078,53689
2014,木竹製品製造業,銷售額,百萬元,47930,37286,10644
2014,紙漿、紙及紙製品製造業,銷售額,百萬元,206762,124519,82243
2014,印刷及資料儲存媒體複製業,銷售額,百萬元,161493,81010,80483
2014,石油及煤製品製造業,銷售額,百萬元,1327965,67293,1260672
2014,化學材料製造業,銷售額,百萬元,1259956,419934,840022
2014,化學製品製造業,銷售額,百萬元,306521,78610,227911
2014,藥品製造業,銷售額,百萬元,97045,9140,87905
2014,橡膠製品製造業,銷售額,百萬元,121419,42178,79241
2014,塑膠製品製造業,銷售額,百萬元,461840,281490,180349
2014,非金屬礦物製品製造業,銷售額,百萬元,379769,184598,195171
2014,基本金屬製造業,銷售額,百萬元,1399306,268040,1131267
2014,金屬製品製造業,銷售額,百萬元,1156766,724606,432161
2014,電子零組件製造業,銷售額,百萬元,3508445,448182,3060262
2014,電腦、電子產品及光學製品製造業,銷售額,百萬元,784676,98544,686133
2014,電力設備製造業,銷售額,百萬元,550099,216812,333288
2014,機械設備製造業,銷售額,百萬元,795850,407755,388094
2014,汽車及其零件製造業,銷售額,百萬元,597639,78929,518709
2014,其他運輸工具製造業,銷售額,百萬元,311509,92525,218985
2014,家具製造業,銷售額,百萬元,67811,47654,20157
2014,其他製造業,銷售額,百萬元,179350,89730,89620
2014,產業用機械設備維修及安裝業,銷售額,百萬元,110511,66341,44170
2015,總計,銷售額,百萬元,13962106,4140270,9821836
2015,食品製造業,銷售額,百萬元,492325,197260,295065
2015,飲料製造業,銷售額,百萬元,64795,38836,25959
2015,菸草製造業,銷售額,百萬元,26737,,
2015,紡織業,銷售額,百萬元,431113,124323,306791
2015,成衣及服飾品製造業,銷售額,百萬元,77655,49238,28418
2015,皮革、毛皮及其製品製造業,銷售額,百萬元,85239,34066,51173
2015,木竹製品製造業,銷售額,百萬元,47423,36074,11349
2015,紙漿、紙及紙製品製造業,銷售額,百萬元,199046,121363,77683
2015,印刷及資料儲存媒體複製業,銷售額,百萬元,160727,80743,79985
2015,石油及煤製品製造業,銷售額,百萬元,883422,48923,834499
2015,化學材料製造業,銷售額,百萬元,1074807,352483,722323
2015,化學製品製造業,銷售額,百萬元,294628,77104,217524
